plate,experiment,well,row,col,readtime,abs600,neon_top,crim_top
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A1,A,1,7,0.1055,25644,278360
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A2,A,2,7,0.1254,274679,102888
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A3,A,3,7,0.1487,21184,238149
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A4,A,4,7,0.1048,30153,205559
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A5,A,5,7,0.1087,162129,64811
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A6,A,6,7,0.1047,19393,118703
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A7,A,7,7,0.089,14117,41457
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A8,A,8,7,0.1238,27542,120740
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A9,A,9,7,0.1048,16377,62644
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A10,A,10,7,0.2246,20555,197274
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A11,A,11,7,0.1142,18978,74514
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,A12,A,12,7,0.1181,16244,87796
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,B1,B,1,7,0.1073,35447,323612
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,B2,B,2,7,0.1016,46465,235782
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,B3,B,3,7,0.1119,61598,315720
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,B4,B,4,7,0.1266,31400,273302
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,B5,B,5,7,0.0933,31255,250474
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,B6,B,6,7,0.1268,38305,299874
PlateA_T0_Dip_Trial3,2024-02_Peffect_Trial3,B7,B,7,7,0.2108,42279,267621
