experiment,plate,row,col,protect,path,plant,protect_od,path_od,date_ster,date_germ,date_inoc,date_process,light_dn,light_lx,temp_dn,MS,MES,pH,notes
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,B,4,WCS365,N2C3-L,col0,1E-05,0.0001,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,C,4,WCS365,N2C3-L,col0,1E-05,1E-06,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,D,4,WCS365,MOCK,col0,1E-05,0,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,E,4,CHAO,N2C3-L,col0,1E-05,0.01,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,F,4,CHAO,N2C3-L,col0,1E-05,0.0001,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,G,4,CHAO,N2C3-L,col0,1E-05,1E-06,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,H,4,CHAO,MOCK,col0,1E-05,0,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,A,5,WCS365,N2C3-L,col0,1E-06,0.01,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,B,5,WCS365,N2C3-L,col0,1E-06,0.0001,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,C,5,WCS365,N2C3-L,col0,1E-06,1E-06,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,D,5,WCS365,MOCK,col0,1E-06,0,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,E,5,CHAO,N2C3-L,col0,1E-06,0.01,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,F,5,CHAO,N2C3-L,col0,1E-06,0.0001,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,G,5,CHAO,N2C3-L,col0,1E-06,1E-06,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,H,5,CHAO,MOCK,col0,1E-06,0,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,A,6,MOCK,N2C3-L,col0,0,0.01,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,B,6,MOCK,N2C3-L,col0,0,0.0001,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,C,6,MOCK,N2C3-L,col0,0,1E-06,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
