experiment,plate,row,col,protect,path,plant,protect_od,path_od,date_ster,date_germ,date_inoc,date_process,light_dn,light_lx,temp_dn,MS,MES,pH,notes
2023-05-30_ccppwn,CH267_CHA0_001_a,B,4,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,C,4,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,D,4,MOCK,MOCK,col0,0,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,E,4,CH267,N2C3,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,F,4,CH267,N2C3,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,G,4,CH267,N2C3,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,H,4,MOCK,N2C3,col0,0,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,A,5,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,B,5,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,C,5,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,D,5,MOCK,MOCK,col0,0,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,E,5,CH267,N2C3,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,F,5,CH267,N2C3,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,G,5,CH267,N2C3,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,H,5,MOCK,N2C3,col0,0,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,A,6,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,B,6,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,C,6,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,D,6,MOCK,MOCK,col0,0,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,E,6,CH267,N2C3,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,F,6,CH267,N2C3,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,G,6,CH267,N2C3,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,H,6,MOCK,N2C3,col0,0,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,A,7,CH267,PAO1,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,B,7,CH267,PAO1,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,C,7,CH267,PAO1,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,D,7,MOCK,PAO1,col0,0,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,E,7,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,F,7,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,G,7,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,H,7,MOCK,MOCK,col0,0,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,A,8,CH267,PAO1,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,B,8,CH267,PAO1,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,C,8,CH267,PAO1,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,D,8,MOCK,PAO1,col0,0,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,E,8,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,F,8,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,G,8,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,H,8,MOCK,MOCK,col0,0,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,A,9,CH267,PAO1,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,B,9,CH267,PAO1,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,C,9,CH267,PAO1,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
