experiment,plate,row,col,protect,path,plant,protect_od,path_od,date_inoc,date_germ,date_ster,date_process,light_dn,light_lx,temp_dn,MS,MES,pH,notes
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,A,5,ATL4B2,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,B,5,ATR3A3,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,C,5,MOCK,N2C3,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,D,5,ATL4B3,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,E,5,ATD3B1,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,F,5,ATY4B2,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,G,5,WCS365,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,H,5,MOCK,N2C3,col0,0,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,A,6,ATL4B2,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
2022-12-06_athal_96_polymyxan2c3,final_scan_polymyxan2c3001_cropped,B,6,ATR3A3,N2C3,col0,8.33333333333333E-06,1.66666666666667E-06,2022-11-29,2022-11-23,2022-11-21,2022-12-06,,,,0.5,0.5,5.8,
