experiment,plate,row,col,protect,protect_v2,protect2,path,path_v2,plant,protect_od,path_od,date_ster,date_germ,date_inoc,date_process,light_dn,light_lx,temp_dn,MS,MES,pH,notes
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,F,3,CHAO,CHAO,NA,N2C3,N2C3,col0,0.0001,0.0001,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,G,3,CHAO,CHAO,NA,N2C3,N2C3,col0,0.0001,1E-06,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,H,3,CHAO,CHAO,NA,MOCK,N2C3,col0,0.0001,0,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,A,4,WCS365,WCS365,NA,N2C3,N2C3,col0,1E-05,0.01,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,B,4,WCS365,WCS365,NA,N2C3,N2C3,col0,1E-05,0.0001,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,C,4,WCS365,WCS365,NA,N2C3,N2C3,col0,1E-05,1E-06,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,D,4,WCS365,WCS365,NA,MOCK,N2C3,col0,1E-05,0,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,E,4,CHAO,CHAO,NA,N2C3,N2C3,col0,1E-05,0.01,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,F,4,CHAO,CHAO,NA,N2C3,N2C3,col0,1E-05,0.0001,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,G,4,CHAO,CHAO,NA,N2C3,N2C3,col0,1E-05,1E-06,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,H,4,CHAO,CHAO,NA,MOCK,N2C3,col0,1E-05,0,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,A,5,WCS365,WCS365,NA,N2C3,N2C3,col0,1E-06,0.01,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,B,5,WCS365,WCS365,NA,N2C3,N2C3,col0,1E-06,0.0001,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,C,5,WCS365,WCS365,NA,N2C3,N2C3,col0,1E-06,1E-06,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,D,5,WCS365,WCS365,NA,MOCK,N2C3,col0,1E-06,0,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,E,5,CHAO,CHAO,NA,N2C3,N2C3,col0,1E-06,0.01,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,F,5,CHAO,CHAO,NA,N2C3,N2C3,col0,1E-06,0.0001,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,G,5,CHAO,CHAO,NA,N2C3,N2C3,col0,1E-06,1E-06,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,H,5,CHAO,CHAO,NA,MOCK,N2C3,col0,1E-06,0,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,A,6,MOCK,WCS365,NA,N2C3,N2C3,col0,0,0.01,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,B,6,MOCK,WCS365,NA,N2C3,N2C3,col0,0,0.0001,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,C,6,MOCK,WCS365,NA,N2C3,N2C3,col0,0,1E-06,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,D,6,MOCK,WCS365,NA,MOCK,N2C3,col0,0,0,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,E,6,MOCK,CHAO,NA,N2C3,N2C3,col0,0,0.01,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,F,6,MOCK,CHAO,NA,N2C3,N2C3,col0,0,0.0001,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,G,6,MOCK,CHAO,NA,N2C3,N2C3,col0,0,1E-06,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,H,6,MOCK,CHAO,NA,MOCK,N2C3,col0,0,0,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
2023-08-02_ac_ccpwn,5day_WCS365_CHAO_001_cropped,A,7,CHAO,CHAO,NA,N2C3,N2C3,col0,0.01,0.01,2023-07-24,2023-07-28,2023-08-02,2023-08-09,12_12,110,23_23,0.5,0.5,5.8,
