UniqueID	experiment	plate	row	col	StrainMix	protect	lacZ_protect	fluor_protect	path	lacZ_path	fluor_path	plant	protect_od	path_od	date_ster	date_germ	date_inoc	date_process	light_dn	light_lx	temp_dn	MS	MES	pH	notes	protect_v2	path_v2	protect2	plate_alias	path_od_adj	path_od_actual	totalOD	ratio_protect	ratio_path	ratio	protect_cells	path_cells	total_cells	protect_cells_log	path_cells_log	total_cells_log	plant_age	well	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median	ID	Number_pixels_log	hue	saturation	value	Healthiness_rgb	Healthiness_hsv	ratio_protect_log	ratio_path_log	ratio_protpath_log
ID__2023_08_08_fluor__fluor_A_001_cropped__A__1	2023-08-08_fluor	fluor_A_001_cropped	A	1	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	0.01	0.01	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	0.01	0.01	0.02	1	1	1-1	4008125	4008125	8016250	6.60294136561483	6.60294136561483	6.90397130710206	5	A1	764	0.3310380134165	0.348087501389897	0.225438184663537	0.344997829257161	0.395104895104895	0.257142857142857	0.394658135610936	0.428070175438596	0.287268177649679	108	125	81	30	44	17	ID	NA	NA	NA	NA	224.925591941982	NA	0.301029995663981	0.301029995663981	0
ID__2023_08_08_fluor__fluor_A_001_cropped__B__1	2023-08-08_fluor	fluor_A_001_cropped	B	1	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	0.01	1e-04	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	1e-04	1e-04	0.0101	100	1	100-1	4008125	40081.25	4048206.25	6.60294136561483	4.60295209247889	6.60726273832466	5	B1	947	0.320549450549451	0.365063493650635	0.240748366836032	0.342431761786601	0.398373983739837	0.259776536312849	0.362957322805039	0.419113625648279	0.28671427087661	128	148	96	32	51	21	ID	NA	NA	NA	NA	276.84317537244	NA	2.00432137378264	0.301029995663981	1.30918686255914
ID__2023_08_08_fluor__fluor_A_001_cropped__C__1	2023-08-08_fluor	fluor_A_001_cropped	C	1	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	0.01	1e-06	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	1e-06	1e-06	0.010001	10000	1	10000-1	4008125	400.8125	4008525.8125	6.60294136561483	2.60402344310557	6.60298479288086	5	C1	1954	0.339152119700748	0.364105444242056	0.220939495158767	0.352760736196319	0.408602150537634	0.238219895287958	0.376393720568395	0.426700026511135	0.276154884693977	127	149	86	42	61	20	ID	NA	NA	NA	NA	332.40582293492	NA	4.00004342727686	0.301029995663981	2.84314231335234
ID__2023_08_08_fluor__fluor_A_001_cropped__D__1	2023-08-08_fluor	fluor_A_001_cropped	D	1	WCS365-MOCK	WCS365	L	neon	MOCK	NA	crim	col0	0.01	0	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	0	0	0.01	1	0	1-0	4008125	0	4008125	6.60294136561483	0	6.60294136561483	5	D1	1041	0.327814569536424	0.364532019704433	0.23202614379085	0.339563862928349	0.402555910543131	0.258064516129032	0.361493123772102	0.421768707482993	0.288073394495413	115	137	87	28	49	22	ID	NA	NA	NA	NA	280.661697863606	NA	0.301029995663981	0	0.301029995663981
ID__2023_08_08_fluor__fluor_A_001_cropped__E__1	2023-08-08_fluor	fluor_A_001_cropped	E	1	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	0.01	0.01	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	0.01	0.01	0.02	1	1	1-1	4008125	4008125	8016250	6.60294136561483	6.60294136561483	6.90397130710206	5	E1	2178	0.324373629051913	0.38958988380041	0.218534698647671	0.337243401759531	0.416909620991254	0.246200607902736	0.351727145148356	0.436305732484076	0.278065601345669	115	143	84	31	58	27	ID	NA	NA	NA	NA	373.884809787581	NA	0.301029995663981	0.301029995663981	0
ID__2023_08_08_fluor__fluor_A_001_cropped__F__1	2023-08-08_fluor	fluor_A_001_cropped	F	1	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	0.01	1e-04	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	1e-04	1e-04	0.0101	100	1	100-1	4008125	40081.25	4048206.25	6.60294136561483	4.60295209247889	6.60726273832466	5	F1	1922	0.325235222065962	0.385027478631846	0.24	0.337748344370861	0.407523510971787	0.256172839506173	0.354368203154611	0.418600936176536	0.278504717021624	107	130	81	26	48	22	ID	NA	NA	NA	NA	302.12609414994	NA	2.00432137378264	0.301029995663981	1.30918686255914
ID__2023_08_08_fluor__fluor_A_001_cropped__G__1	2023-08-08_fluor	fluor_A_001_cropped	G	1	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	0.01	1e-06	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	1e-06	1e-06	0.010001	10000	1	10000-1	4008125	400.8125	4008525.8125	6.60294136561483	2.60402344310557	6.60298479288086	5	G1	1760	0.33157060518732	0.385699404761905	0.212882295775453	0.350974930362117	0.418498389694042	0.228610783156238	0.363852119402182	0.433962264150943	0.272078173374613	128	152	83	44	68	24	ID	NA	NA	NA	NA	376.508085292204	NA	4.00004342727686	0.301029995663981	2.84314231335234
ID__2023_08_08_fluor__fluor_A_001_cropped__H__1	2023-08-08_fluor	fluor_A_001_cropped	H	1	WCS365-MOCK	WCS365	L	neon	MOCK	NA	crim	col0	0.01	0	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	0	0	0.01	1	0	1-0	4008125	0	4008125	6.60294136561483	0	6.60294136561483	5	H1	1273	0.358911149825784	0.346349189427917	0.248102949681897	0.381742738589212	0.355769230769231	0.25891181988743	0.394073952364326	0.367741935483871	0.293722302732447	196	183	134	62	50	-11	ID	NA	NA	NA	NA	86.9447439839813	NA	0.301029995663981	0	0.301029995663981
ID__2023_08_08_fluor__fluor_A_001_cropped__A__2	2023-08-08_fluor	fluor_A_001_cropped	A	2	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-04	0.01	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	0.01	0.01	0.0101	1	100	1-100	40081.25	4008125	4048206.25	4.60295209247889	6.60294136561483	6.60726273832466	5	A2	2016	0.331283595130012	0.386781279847182	0.227985294117647	0.340361445783133	0.403846153846154	0.256211419753086	0.35495206211083	0.423339416058394	0.275	108	129	82	27	47	20	ID	NA	NA	NA	NA	287.509413144511	NA	0.301029995663981	2.00432137378264	-0.566947129219436
ID__2023_08_08_fluor__fluor_A_001_cropped__B__2	2023-08-08_fluor	fluor_A_001_cropped	B	2	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-04	1e-04	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	1e-04	1e-04	2e-04	1	1	1-1	40081.25	40081.25	80162.5	4.60295209247889	4.60295209247889	4.90397667056787	5	B2	7024	0.338086994471923	0.39234932520866	0.180762958936601	0.350946607740086	0.444767441860465	0.201210356698162	0.363636363636364	0.470059880239521	0.257428852803117	128	161	72	53	87	34	ID	NA	NA	NA	NA	596.230180929453	NA	0.301029995663981	0.301029995663981	0
