UniqueID	experiment	plate	row	col	StrainMix	protect	lacZ_protect	fluor_protect	path	lacZ_path	fluor_path	plant	protect_od	path_od	date_ster	date_germ	date_inoc	date_process	light_dn	light_lx	temp_dn	MS	MES	pH	notes	protect_v2	path_v2	protect2	plate_alias	path_od_adj	path_od_actual	totalOD	ratio_protect	ratio_path	ratio	protect_cells	path_cells	total_cells	protect_cells_log	path_cells_log	total_cells_log	plant_age	well	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median	ID	Number_pixels_log	hue	saturation	value	Healthiness_rgb	Healthiness_hsv	ratio_protect_log	ratio_path_log	ratio_protpath_log
ID__2023_08_08_fluor__fluor_A_001_cropped__C__2	2023-08-08_fluor	fluor_A_001_cropped	C	2	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-04	1e-06	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	1e-06	1e-06	0.000101	100	1	100-1	40081.25	400.8125	40482.0625	4.60295209247889	2.60402344310557	4.60727335898347	5	C2	2029	0.357745657152025	0.345038167938931	0.240286190388023	0.37904468412943	0.349683544303797	0.270998415213946	0.395727193698796	0.369007201881457	0.296306847957618	229	212	167	66	49	-16	ID	NA	NA	NA	NA	56.2274326445246	NA	2.00432137378264	0.301029995663981	1.30918686255914
ID__2023_08_08_fluor__fluor_A_001_cropped__D__2	2023-08-08_fluor	fluor_A_001_cropped	D	2	WCS365-MOCK	WCS365	L	neon	MOCK	NA	crim	col0	1e-04	0	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	0	0	1e-04	1	0	1-0	40081.25	0	40081.25	4.60295209247889	0	4.60295209247889	5	D2	5525	0.340837824373896	0.390254193681177	0.179775280898876	0.350974930362117	0.444743935309973	0.204379562043796	0.36604774535809	0.464673913043478	0.260349725396124	130	166	74	53	87	34	ID	NA	NA	NA	NA	580.073686489976	NA	0.301029995663981	0	0.301029995663981
ID__2023_08_08_fluor__fluor_A_001_cropped__E__2	2023-08-08_fluor	fluor_A_001_cropped	E	2	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-04	0.01	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	0.01	0.01	0.0101	1	100	1-100	40081.25	4008125	4048206.25	4.60295209247889	6.60294136561483	6.60726273832466	5	E2	4964	0.337461300309598	0.386252824613245	0.1775531823824	0.351351351351351	0.445121951219512	0.2053976046612	0.368673033146411	0.465346534653465	0.263912854404793	129	161	74	51	84	34	ID	NA	NA	NA	NA	561.779726430373	NA	0.301029995663981	2.00432137378264	-0.566947129219436
ID__2023_08_08_fluor__fluor_A_001_cropped__F__2	2023-08-08_fluor	fluor_A_001_cropped	F	2	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-04	1e-04	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	1e-04	1e-04	2e-04	1	1	1-1	40081.25	40081.25	80162.5	4.60295209247889	4.60295209247889	4.90397667056787	5	F2	5281	0.343490304709141	0.382591093117409	0.187214611872146	0.357142857142857	0.43035343035343	0.207692307692308	0.376953125	0.452127659574468	0.268389662027833	154	182	89	60	92	29	ID	NA	NA	NA	NA	558.419759530636	NA	0.301029995663981	0.301029995663981	0
ID__2023_08_08_fluor__fluor_A_001_cropped__G__2	2023-08-08_fluor	fluor_A_001_cropped	G	2	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-04	1e-06	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	1e-06	1e-06	0.000101	100	1	100-1	40081.25	400.8125	40482.0625	4.60295209247889	2.60402344310557	4.60727335898347	5	G2	5025	0.33882122662027	0.396589523705767	0.171270970876561	0.353115727002967	0.448648648648649	0.197058823529412	0.367945823927765	0.470588235294118	0.260693012705848	131	164	74	56	90	35	ID	NA	NA	NA	NA	592.195597481049	NA	2.00432137378264	0.301029995663981	1.30918686255914
ID__2023_08_08_fluor__fluor_A_001_cropped__H__2	2023-08-08_fluor	fluor_A_001_cropped	H	2	WCS365-MOCK	WCS365	L	neon	MOCK	NA	crim	col0	1e-04	0	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	0	0	1e-04	1	0	1-0	40081.25	0	40081.25	4.60295209247889	0	4.60295209247889	5	H2	1178	0.324978813559322	0.355856487818232	0.185858177703983	0.344202898550725	0.433155793969594	0.224346787559715	0.3866999114984	0.467680608365019	0.278616700201207	98	126	63	37	59	27	ID	NA	NA	NA	NA	347.081059975745	NA	0.301029995663981	0	0.301029995663981
ID__2023_08_08_fluor__fluor_A_001_cropped__A__3	2023-08-08_fluor	fluor_A_001_cropped	A	3	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-06	0.01	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	0.01	0.01	0.010001	1	10000	1-10000	400.8125	4008125	4008525.8125	2.60402344310557	6.60294136561483	6.60298479288086	5	A3	1559	0.331189710610932	0.364060435457	0.245026445619805	0.339285714285714	0.396103896103896	0.262458471760797	0.362424496644295	0.412337662337662	0.28375899760064	104	122	79	24	41	18	ID	NA	NA	NA	NA	245.870594073294	NA	0.301029995663981	4.00004342727686	-0.739796260855168
ID__2023_08_08_fluor__fluor_A_001_cropped__B__3	2023-08-08_fluor	fluor_A_001_cropped	B	3	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-06	1e-04	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	1e-04	1e-04	0.000101	1	100	1-100	400.8125	40081.25	40482.0625	2.60402344310557	4.60295209247889	4.60727335898347	5	B3	3306	0.356305974843966	0.348135075448868	0.218692414004914	0.374686685303263	0.367704280155642	0.254545454545455	0.389547101449275	0.410579345088161	0.288999630860096	186	181	125	59	55	-4	ID	NA	NA	NA	NA	165.413407160944	NA	0.301029995663981	2.00432137378264	-0.566947129219436
ID__2023_08_08_fluor__fluor_A_001_cropped__C__3	2023-08-08_fluor	fluor_A_001_cropped	C	3	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-06	1e-06	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	1e-06	1e-06	2e-06	1	1	1-1	400.8125	400.8125	801.625	2.60402344310557	2.60402344310557	2.90451268292455	5	C3	6455	0.340322679066135	0.391216312145583	0.176076562700552	0.354330708661417	0.45088161209068	0.195906432748538	0.364461646727656	0.465973928838551	0.259499321966753	131	164	71	55	89	34	ID	NA	NA	NA	NA	598.1642729091	NA	0.301029995663981	0.301029995663981	0
ID__2023_08_08_fluor__fluor_A_001_cropped__D__3	2023-08-08_fluor	fluor_A_001_cropped	D	3	WCS365-MOCK	WCS365	L	neon	MOCK	NA	crim	col0	1e-06	0	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	0	0	1e-06	1	0	1-0	400.8125	0	400.8125	2.60402344310557	0	2.60402344310557	5	D3	2355	0.353478569527021	0.34797132498352	0.229496317415063	0.372759856630824	0.366053169734151	0.259191176470588	0.399718875502008	0.400470048947246	0.291020776874435	194	190	134	59	56	-4	ID	NA	NA	NA	NA	161.864413733523	NA	0.301029995663981	0	0.301029995663981
ID__2023_08_08_fluor__fluor_A_001_cropped__E__3	2023-08-08_fluor	fluor_A_001_cropped	E	3	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-06	0.01	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	0.01	0.01	0.010001	1	10000	1-10000	400.8125	4008125	4008525.8125	2.60402344310557	6.60294136561483	6.60298479288086	5	E3	6799	0.340557275541796	0.38618665836382	0.17989417989418	0.354077253218884	0.447916666666667	0.2	0.366161616161616	0.460156516595764	0.270290389645228	138	174	75	57	91	35	ID	NA	NA	NA	NA	617.033934945704	NA	0.301029995663981	4.00004342727686	-0.739796260855168
ID__2023_08_08_fluor__fluor_A_001_cropped__F__3	2023-08-08_fluor	fluor_A_001_cropped	F	3	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-06	1e-04	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	1e-04	1e-04	0.000101	1	100	1-100	400.8125	40081.25	40482.0625	2.60402344310557	4.60295209247889	4.60727335898347	5	F3	7032	0.338498719443873	0.392938839111804	0.168639053254438	0.350769230769231	0.454005934718101	0.195718654434251	0.364721973895941	0.475903614457831	0.259134429400387	122	158	67	54	89	36	ID	NA	NA	NA	NA	619.389639403558	NA	0.301029995663981	2.00432137378264	-0.566947129219436
ID__2023_08_08_fluor__fluor_A_001_cropped__G__3	2023-08-08_fluor	fluor_A_001_cropped	G	3	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-06	1e-06	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	1e-06	1e-06	2e-06	1	1	1-1	400.8125	400.8125	801.625	2.60402344310557	2.60402344310557	2.90451268292455	5	G3	5542	0.339393939393939	0.39301761782864	0.175742574257426	0.35752688172043	0.447976878612717	0.194805194805195	0.36648905226938	0.463065898129202	0.26530612244898	141	174	75	61	94	35	ID	NA	NA	NA	NA	613.974160089164	NA	0.301029995663981	0.301029995663981	0
ID__2023_08_08_fluor__fluor_A_001_cropped__H__3	2023-08-08_fluor	fluor_A_001_cropped	H	3	WCS365-MOCK	WCS365	L	neon	MOCK	NA	crim	col0	1e-06	0	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	0	0	1e-06	1	0	1-0	400.8125	0	400.8125	2.60402344310557	0	2.60402344310557	5	H3	5847	0.34204430782606	0.387096774193548	0.182310073615452	0.358126721763085	0.439429928741093	0.202156334231806	0.37468982630273	0.454545454545455	0.26338329764454	142	170	79	57	89	31	ID	NA	NA	NA	NA	568.81811195642	NA	0.301029995663981	0	0.301029995663981
ID__2023_08_08_fluor__fluor_A_001_cropped__A__4	2023-08-08_fluor	fluor_A_001_cropped	A	4	MOCK-N2C3	MOCK	NA	neon	N2C3	NA	crim	col0	0	0.01	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	0.01	0.01	0.01	0	1	0-1	0	4008125	4008125	0	6.60294136561483	6.60294136561483	5	A4	1551	0.334508172435929	0.366908751899084	0.230524537767528	0.349693251533742	0.401685393258427	0.248407643312102	0.366697617341066	0.418461538461538	0.280795234801756	119	138	84	35	52	19	ID	NA	NA	NA	NA	287.180254522995	NA	0	0.301029995663981	-0.231378213159759
ID__2023_08_08_fluor__fluor_A_001_cropped__B__4	2023-08-08_fluor	fluor_A_001_cropped	B	4	MOCK-N2C3	MOCK	NA	neon	N2C3	NA	crim	col0	0	1e-04	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	1e-04	1e-04	1e-04	0	1	0-1	0	40081.25	40081.25	0	4.60295209247889	4.60295209247889	5	B4	7496	0.339556618126494	0.388339380181203	0.16025641025641	0.353107344632768	0.441734417344173	0.206896551724138	0.371428571428571	0.473839445438283	0.262702148608732	126.5	157	73	53	85	32	ID	NA	NA	NA	NA	577.358239116071	NA	0	0.301029995663981	-0.231378213159759
ID__2023_08_08_fluor__fluor_A_001_cropped__C__4	2023-08-08_fluor	fluor_A_001_cropped	C	4	MOCK-N2C3	MOCK	NA	neon	N2C3	NA	crim	col0	0	1e-06	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	1e-06	1e-06	1e-06	0	1	0-1	0	400.8125	400.8125	0	2.60402344310557	2.60402344310557	5	C4	7096	0.343195266272189	0.379015524408903	0.183995670995671	0.364089775561097	0.436058700209644	0.198770491803279	0.374233128834356	0.457142857142857	0.269578339602834	164	191	88	68	97	31	ID	NA	NA	NA	NA	612.320894031393	NA	0	0.301029995663981	-0.231378213159759
ID__2023_08_08_fluor__fluor_A_001_cropped__D__4	2023-08-08_fluor	fluor_A_001_cropped	D	4	MOCK-MOCK	MOCK	NA	neon	MOCK	NA	crim	col0	0	0	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	0	0	0	0	0	0-0	0	0	0	0	0	0	5	D4	9280	0.340659340659341	0.401959597398281	0.172755964965267	0.351206434316354	0.457227138643068	0.191044776119403	0.36094674556213	0.472140762463343	0.254043454620822	124	161	67	55	91	36	ID	NA	NA	NA	NA	646.717947945518	NA	0	0	0
ID__2023_08_08_fluor__fluor_A_001_cropped__E__4	2023-08-08_fluor	fluor_A_001_cropped	E	4	MOCK-N2C3	MOCK	NA	neon	N2C3	NA	crim	col0	0	0.01	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	0.01	0.01	0.01	0	1	0-1	0	4008125	4008125	0	6.60294136561483	6.60294136561483	5	E4	3542	0.333333333333333	0.39474358974359	0.194854703063334	0.343238783337793	0.445086705202312	0.212574850299401	0.352760736196319	0.458204334365325	0.26424139763518	115	149	71	44	78	34	ID	NA	NA	NA	NA	518.208188240644	NA	0	0.301029995663981	-0.231378213159759
ID__2023_08_08_fluor__fluor_A_001_cropped__F__4	2023-08-08_fluor	fluor_A_001_cropped	F	4	MOCK-N2C3	MOCK	NA	neon	N2C3	NA	crim	col0	0	1e-04	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	1e-04	1e-04	1e-04	0	1	0-1	0	40081.25	40081.25	0	4.60295209247889	4.60295209247889	5	F4	4962	0.343024559390969	0.393320928239772	0.186046511627907	0.357142857142857	0.429561200923788	0.21227621483376	0.381631480178278	0.444126074498567	0.254402272805301	135	161	80	53	81	27	ID	NA	NA	NA	NA	498.925477151639	NA	0	0.301029995663981	-0.231378213159759
ID__2023_08_08_fluor__fluor_A_001_cropped__G__4	2023-08-08_fluor	fluor_A_001_cropped	G	4	MOCK-N2C3	MOCK	NA	neon	N2C3	NA	crim	col0	0	1e-06	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	1e-06	1e-06	1e-06	0	1	0-1	0	400.8125	400.8125	0	2.60402344310557	2.60402344310557	5	G4	2655	0.332234306851433	0.384739454094293	0.192998632010944	0.346385542168675	0.432203389830508	0.220670391061453	0.374117647058824	0.446392339544513	0.272727272727273	122	153	78	44	74	30	ID	NA	NA	NA	NA	458.846561473261	NA	0	0.301029995663981	-0.231378213159759
ID__2023_08_08_fluor__fluor_A_001_cropped__H__4	2023-08-08_fluor	fluor_A_001_cropped	H	4	MOCK-MOCK	MOCK	NA	neon	MOCK	NA	crim	col0	0	0	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	0	0	0	0	0	0-0	0	0	0	0	0	0	5	H4	628	0.330452124365168	0.378982863460475	0.238690958164642	0.339100346020761	0.405405405405405	0.255013808081079	0.356624383368569	0.420746581542713	0.280242990654206	102	122	76.5	26	45	20	ID	NA	NA	NA	NA	237.885304862848	NA	0	0	0
ID__2023_08_08_fluor__fluor_A_001_cropped__A__5	2023-08-08_fluor	fluor_A_001_cropped	A	5	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	0.01	0.01	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	0.01	0.01	0.02	1	1	1-1	4008125	4008125	8016250	6.60294136561483	6.60294136561483	6.90397130710206	5	A5	1973	0.334293948126801	0.376459248978333	0.204620462046205	0.346625766871166	0.425076452599388	0.229607250755287	0.371623386043813	0.439214448092953	0.273464209401709	116	141	77	39	65	26	ID	NA	NA	NA	NA	385.555616355033	NA	0.301029995663981	0.301029995663981	0
ID__2023_08_08_fluor__fluor_A_001_cropped__B__5	2023-08-08_fluor	fluor_A_001_cropped	B	5	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	0.01	1e-04	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	1e-04	1e-04	0.0101	100	1	100-1	4008125	40081.25	4048206.25	6.60294136561483	4.60295209247889	6.60726273832466	5	B5	2244	0.334320851364479	0.373755067865327	0.215707434052758	0.344729344729345	0.399441340782123	0.256797583081571	0.370481927710843	0.42726850548832	0.277067619333366	118	137	87	30	49	19	ID	NA	NA	NA	NA	291.555822044523	NA	2.00432137378264	0.301029995663981	1.30918686255914
ID__2023_08_08_fluor__fluor_A_001_cropped__C__5	2023-08-08_fluor	fluor_A_001_cropped	C	5	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	0.01	1e-06	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	NA	NA	NA	WCS365Neon-N2C3Crim-A	1e-06	1e-06	0.010001	10000	1	10000-1	4008125	400.8125	4008525.8125	6.60294136561483	2.60402344310557	6.60298479288086	5	C5	1993	0.332478723404255	0.357816993464052	0.232115811348667	0.34375	0.407185628742515	0.25	0.366709884866715	0.419475655430712	0.285853999301432	112	133	81	31	51	21	ID	NA	NA	NA	NA	306.874439319734	NA	4.00004342727686	0.301029995663981	2.84314231335234
