plate,experiment,row,col,plant_quality,strain0,strain1,strain2,strain1_od,strain2_od,transfer_h,Type,plate_filled_with,date_ster,date_germ,date_inoc,date_process,plant,light_lx,temp_dn,MS,MES,pH
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B,1,good,NA,WCS365-_neon,N2C3-_crim,0.001,0.001,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B,2,bad,NA,WCS365-_neon,N2C3-_crim,0.001,0.001,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B,3,good,NA,WCS365-_neon,N2C3-_crim,0.001,0.001,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B,4,bad,NA,WCS365-_neon,N2C3-_crim,0.001,0.001,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B,5,good,NA,WCS365-_neon,N2C3-_crim,0.001,0.001,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B,6,bad,NA,WCS365-_neon,N2C3-_crim,0.001,0.001,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B,7,bad,NA,MOCK,N2C3-_crim,0,0.001,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B,8,bad,NA,MOCK,N2C3-_crim,0,0.001,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B,9,bad,NA,MOCK,N2C3-_crim,0,0.001,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B,10,bad,NA,MOCK,N2C3-_crim,0,0.001,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B,11,bad,NA,MOCK,N2C3-_crim,0,0.001,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B,12,bad,NA,MOCK,N2C3-_crim,0,0.001,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C,1,good,NA,WCS365-_neon,N2C3-_crim,0.001,0.01,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C,2,bad,NA,WCS365-_neon,N2C3-_crim,0.001,0.01,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C,3,good,NA,WCS365-_neon,N2C3-_crim,0.001,0.01,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C,4,bad,NA,WCS365-_neon,N2C3-_crim,0.001,0.01,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C,5,good,NA,WCS365-_neon,N2C3-_crim,0.001,0.01,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C,6,bad,NA,WCS365-_neon,N2C3-_crim,0.001,0.01,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C,7,bad,NA,MOCK,N2C3-_crim,0,0.01,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C,8,bad,NA,MOCK,N2C3-_crim,0,0.01,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C,9,bad,NA,MOCK,N2C3-_crim,0,0.01,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C,10,bad,NA,MOCK,N2C3-_crim,0,0.01,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C,11,bad,NA,MOCK,N2C3-_crim,0,0.01,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C,12,bad,NA,MOCK,N2C3-_crim,0,0.01,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D,1,good,NA,WCS365-_neon,N2C3-_crim,0.001,0.03,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D,2,bad,NA,WCS365-_neon,N2C3-_crim,0.001,0.03,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D,3,good,NA,WCS365-_neon,N2C3-_crim,0.001,0.03,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D,4,bad,NA,WCS365-_neon,N2C3-_crim,0.001,0.03,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D,5,good,NA,WCS365-_neon,N2C3-_crim,0.001,0.03,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D,6,bad,NA,WCS365-_neon,N2C3-_crim,0.001,0.03,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D,7,bad,NA,MOCK,N2C3-_crim,0,0.03,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D,8,bad,NA,MOCK,N2C3-_crim,0,0.03,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D,9,bad,NA,MOCK,N2C3-_crim,0,0.03,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D,10,bad,NA,MOCK,N2C3-_crim,0,0.03,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D,11,bad,NA,MOCK,N2C3-_crim,0,0.03,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D,12,bad,NA,MOCK,N2C3-_crim,0,0.03,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E,1,bad,NA,MOCK,MOCK,0,0,6,Priority,MOCK,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E,2,bad,NA,MOCK,MOCK,0,0,6,Priority,MOCK,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E,3,bad,NA,MOCK,MOCK,0,0,6,Priority,MOCK,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E,4,bad,NA,MOCK,MOCK,0,0,6,Priority,MOCK,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E,5,bad,NA,MOCK,MOCK,0,0,6,Priority,MOCK,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
