experiment,rep,OD_crim,OD_neon,prop_crim,prop_neon,read_crim,read_neon
test1,,0,0.0001,0,1,4211,28307
test1,,0,1E-06,0,1,3087,25644
test1,,0,0,0,0,3369,26195
test1,,0.01,0.01,0.5,0.5,28323,238184
test1,,0.01,0.0001,0.99009900990099,0.00990099009901,20764,27369
test1,,0.01,1E-06,0.999900009999,9.99900009999E-05,31148,25135
test1,,0.01,0,1,0,22451,23453
test1,,0.01,0.01,0.5,0.5,19926,197389
test1,,0.01,0.0001,0.99009900990099,0.00990099009901,29753,27881
test1,,0.01,1E-06,0.999900009999,9.99900009999E-05,24975,24021
test1,,0.01,0,1,0,31160,27462
test1,,0.0001,0.01,0.00990099009901,0.99009900990099,1963,234264
test1,,0.0001,0.0001,0.5,0.5,4209,27162
test1,,0.0001,1E-06,0.99009900990099,0.00990099009901,1403,25276
test1,,0.0001,0,1,0,4491,24159
test1,,0.0001,0.01,0.00990099009901,0.99009900990099,6456,198473
test1,,0.0001,0.0001,0.5,0.5,5332,24796
test1,,0.0001,1E-06,0.99009900990099,0.00990099009901,3087,23738
test1,,0.0001,0,1,0,4211,25849
test1,,1E-06,0.01,9.99900009999E-05,0.999900009999,3366,215897
test1,,1E-06,0.0001,0.00990099009901,0.99009900990099,2244,28987
test1,,1E-06,1E-06,0.5,0.5,1122,22613
test1,,1E-06,0,1,0,2245,26186
test1,,1E-06,0.01,9.99900009999E-05,0.999900009999,4489,198250
test1,,1E-06,0.0001,0.00990099009901,0.99009900990099,4209,26972
test1,,1E-06,1E-06,0.5,0.5,3929,24596
test1,,1E-06,0,1,0,2245,26830
test1,,0,0.01,0,1,2805,306183
test1,,0,0.0001,0,1,2524,27023
test1,,0,1E-06,0,1,4490,24788
test1,,0,0,0,0,2805,27380
test1,,0,0.01,0,1,2245,255979
test1,,0,0.0001,0,1,2244,27180
test1,,0,1E-06,0,1,3929,25082
test1,,0,0,0,0,3927,25426
