plate_alias,row,col,Neon-raw,Crim-raw
N2C3crim_WCS365neon_fullLacZ,F,10,41039,368999
N2C3crim_WCS365neon_fullLacZ,G,10,17200,3112
N2C3crim_WCS365neon_fullLacZ,H,10,14741,3370
N2C3crim_WCS365neon_fullLacZ,A,11,14587,103502
N2C3crim_WCS365neon_fullLacZ,B,11,26142,259263
N2C3crim_WCS365neon_fullLacZ,C,11,12873,519
N2C3crim_WCS365neon_fullLacZ,D,11,17589,3889
N2C3crim_WCS365neon_fullLacZ,E,11,26353,292080
N2C3crim_WCS365neon_fullLacZ,F,11,21364,228381
N2C3crim_WCS365neon_fullLacZ,G,11,15305,2852
N2C3crim_WCS365neon_fullLacZ,H,11,13339,1814
N2C3crim_WCS365neon_fullLacZ,A,12,14660,123449
N2C3crim_WCS365neon_fullLacZ,B,12,24026,295143
N2C3crim_WCS365neon_fullLacZ,C,12,12380,1816
N2C3crim_WCS365neon_fullLacZ,D,12,16393,1036
N2C3crim_WCS365neon_fullLacZ,E,12,17290,230296
N2C3crim_WCS365neon_fullLacZ,F,12,26282,444607
N2C3crim_WCS365neon_fullLacZ,G,12,12284,2334
N2C3crim_WCS365neon_fullLacZ,H,12,12287,2849
N2C3crim_WCS365neon_halfLacZ,A,1,260083,26816
N2C3crim_WCS365neon_halfLacZ,B,1,155609,66874
N2C3crim_WCS365neon_halfLacZ,C,1,282050,2072
N2C3crim_WCS365neon_halfLacZ,D,1,277544,1296
N2C3crim_WCS365neon_halfLacZ,E,1,120392,63749
N2C3crim_WCS365neon_halfLacZ,F,1,583614,112604
N2C3crim_WCS365neon_halfLacZ,G,1,415459,3629
N2C3crim_WCS365neon_halfLacZ,H,1,108684,2595
N2C3crim_WCS365neon_halfLacZ,A,2,453439,162310
N2C3crim_WCS365neon_halfLacZ,B,2,261518,178591
N2C3crim_WCS365neon_halfLacZ,C,2,668840,3628
N2C3crim_WCS365neon_halfLacZ,D,2,644151,4667
N2C3crim_WCS365neon_halfLacZ,E,2,372523,118220
N2C3crim_WCS365neon_halfLacZ,F,2,454655,202360
N2C3crim_WCS365neon_halfLacZ,G,2,246305,1815
N2C3crim_WCS365neon_halfLacZ,H,2,362774,2854
N2C3crim_WCS365neon_halfLacZ,A,3,303250,82290
N2C3crim_WCS365neon_halfLacZ,B,3,253373,183010
N2C3crim_WCS365neon_halfLacZ,C,3,1005885,4925
N2C3crim_WCS365neon_halfLacZ,D,3,335697,5964
N2C3crim_WCS365neon_halfLacZ,E,3,303130,171414
N2C3crim_WCS365neon_halfLacZ,F,3,193794,100397
N2C3crim_WCS365neon_halfLacZ,G,3,854413,3372
N2C3crim_WCS365neon_halfLacZ,H,3,147482,3893
N2C3crim_WCS365neon_halfLacZ,A,4,18466,143663
N2C3crim_WCS365neon_halfLacZ,B,4,24440,170025
N2C3crim_WCS365neon_halfLacZ,C,4,15072,2333
N2C3crim_WCS365neon_halfLacZ,D,4,15638,4408
N2C3crim_WCS365neon_halfLacZ,E,4,43593,555102
N2C3crim_WCS365neon_halfLacZ,F,4,34682,300945
N2C3crim_WCS365neon_halfLacZ,G,4,21137,3372
N2C3crim_WCS365neon_halfLacZ,H,4,13562,3114
