plate_alias,row,col,Neon-raw,Crim-raw,Neon-cfu,Crim-cfu
Ncrim_WneonLacZ_A_001_crop,A,1,65576,93144,,
Ncrim_WneonLacZ_A_001_crop,B,1,152785,3142,,
Ncrim_WneonLacZ_A_001_crop,C,1,205244,2615,,
Ncrim_WneonLacZ_A_001_crop,D,1,285162,1309,,
Ncrim_WneonLacZ_A_001_crop,E,1,50010,57540,,
Ncrim_WneonLacZ_A_001_crop,F,1,138323,3928,,
Ncrim_WneonLacZ_A_001_crop,G,1,196098,3662,,
Ncrim_WneonLacZ_A_001_crop,H,1,155315,3143,,
Ncrim_WneonLacZ_A_001_crop,A,2,13928,67036,,
Ncrim_WneonLacZ_A_001_crop,B,2,583913,52630,,
Ncrim_WneonLacZ_A_001_crop,C,2,455753,6280,,
Ncrim_WneonLacZ_A_001_crop,D,2,423487,3666,,
Ncrim_WneonLacZ_A_001_crop,E,2,18616,142647,,
Ncrim_WneonLacZ_A_001_crop,F,2,281036,108151,,
Ncrim_WneonLacZ_A_001_crop,G,2,396381,4972,,
Ncrim_WneonLacZ_A_001_crop,H,2,119034,1572,,
Ncrim_WneonLacZ_A_001_crop,A,3,14477,70356,,
Ncrim_WneonLacZ_A_001_crop,B,3,24608,194285,,
Ncrim_WneonLacZ_A_001_crop,C,3,71674,54443,,
Ncrim_WneonLacZ_A_001_crop,D,3,1219823,117586,,
Ncrim_WneonLacZ_A_001_crop,E,3,20032,88747,,
Ncrim_WneonLacZ_A_001_crop,F,3,22695,154784,,
Ncrim_WneonLacZ_A_001_crop,G,3,453804,79588,,
Ncrim_WneonLacZ_A_001_crop,H,3,228520,1310,,
Ncrim_WneonLacZ_A_001_crop,A,4,18844,122402,,
Ncrim_WneonLacZ_A_001_crop,B,4,26308,120431,,
Ncrim_WneonLacZ_A_001_crop,C,4,32233,201066,,
Ncrim_WneonLacZ_A_001_crop,D,4,12693,1833,,
Ncrim_WneonLacZ_A_001_crop,E,4,20168,110741,,
Ncrim_WneonLacZ_A_001_crop,F,4,21212,147709,,
Ncrim_WneonLacZ_A_001_crop,G,4,19385,140091,,
Ncrim_WneonLacZ_A_001_crop,H,4,12895,3405,,
Ncrim_WneonLacZ_A_001_crop,A,5,224727,69218,9667,5333
Ncrim_WneonLacZ_A_001_crop,B,5,159234,1833,9333,0
Ncrim_WneonLacZ_A_001_crop,C,5,573897,2094,11000,0
Ncrim_WneonLacZ_A_001_crop,D,5,98756,4190,8000,0
Ncrim_WneonLacZ_A_001_crop,E,5,68836,67556,333,2400
Ncrim_WneonLacZ_A_001_crop,F,5,343474,4714,4100,367
Ncrim_WneonLacZ_A_001_crop,G,5,335218,3404,8000,0
Ncrim_WneonLacZ_A_001_crop,H,5,192451,4714,11000,0
Ncrim_WneonLacZ_A_001_crop,A,6,15804,69771,0,3933
Ncrim_WneonLacZ_A_001_crop,B,6,227122,15707,3900,1100
Ncrim_WneonLacZ_A_001_crop,C,6,218973,3665,3100,0
Ncrim_WneonLacZ_A_001_crop,D,6,271285,3142,4133,67
Ncrim_WneonLacZ_A_001_crop,E,6,22354,119130,0,1100
Ncrim_WneonLacZ_A_001_crop,F,6,184406,81191,533,1100
Ncrim_WneonLacZ_A_001_crop,G,6,578042,3142,1967,600
Ncrim_WneonLacZ_A_001_crop,H,6,261463,4452,,
Ncrim_WneonLacZ_A_001_crop,A,7,14959,82608,0,1500
Ncrim_WneonLacZ_A_001_crop,B,7,287733,66233,2267,1767
Ncrim_WneonLacZ_A_001_crop,C,7,383669,28011,2133,333
Ncrim_WneonLacZ_A_001_crop,D,7,368456,5761,3067,0
Ncrim_WneonLacZ_A_001_crop,E,7,17631,118078,0,2033
Ncrim_WneonLacZ_A_001_crop,F,7,20721,145361,0,1733
Ncrim_WneonLacZ_A_001_crop,G,7,367555,51578,1000,1267
Ncrim_WneonLacZ_A_001_crop,H,7,302291,2881,3333,300
Ncrim_WneonLacZ_A_001_crop,A,8,20674,172848,0,2133
Ncrim_WneonLacZ_A_001_crop,B,8,22360,214686,0,8000
Ncrim_WneonLacZ_A_001_crop,C,8,27223,161003,0,10667
Ncrim_WneonLacZ_A_001_crop,D,8,15090,3404,0,0
Ncrim_WneonLacZ_A_001_crop,E,8,18265,114933,0,1867
Ncrim_WneonLacZ_A_001_crop,F,8,21637,152437,0,2867
Ncrim_WneonLacZ_A_001_crop,G,8,19664,150042,0,2533
Ncrim_WneonLacZ_A_001_crop,H,8,12329,2095,0,0
Ncrim_WneonLacZ_A_001_crop,A,9,193990,85273,,
Ncrim_WneonLacZ_A_001_crop,B,9,293670,4711,,
Ncrim_WneonLacZ_A_001_crop,C,9,437626,3404,,
Ncrim_WneonLacZ_A_001_crop,D,9,332267,2618,,
Ncrim_WneonLacZ_A_001_crop,E,9,76436,84580,,
Ncrim_WneonLacZ_A_001_crop,F,9,423724,4975,,
Ncrim_WneonLacZ_A_001_crop,G,9,413729,2357,,
Ncrim_WneonLacZ_A_001_crop,H,9,207042,2619,,
Ncrim_WneonLacZ_A_001_crop,A,10,16296,65405,,
Ncrim_WneonLacZ_A_001_crop,B,10,112957,33240,,
Ncrim_WneonLacZ_A_001_crop,C,10,188732,3665,,
Ncrim_WneonLacZ_A_001_crop,D,10,805216,1309,,
Ncrim_WneonLacZ_A_001_crop,E,10,22639,154228,,
Ncrim_WneonLacZ_A_001_crop,F,10,348496,93747,,
Ncrim_WneonLacZ_A_001_crop,G,10,443958,15188,,
Ncrim_WneonLacZ_A_001_crop,H,10,202082,2357,,
Ncrim_WneonLacZ_A_001_crop,A,11,14744,82151,,
Ncrim_WneonLacZ_A_001_crop,B,11,36612,43956,,
Ncrim_WneonLacZ_A_001_crop,C,11,234690,22253,,
Ncrim_WneonLacZ_A_001_crop,D,11,656472,4450,,
