plate_alias,row,col,Neon-raw,Crim-raw,Neon-cfu,Crim-cfu
WCS365Neon-N2C3Crim-A,C,11,238076,80752,,
WCS365Neon-N2C3Crim-A,D,11,124276,7640,,
WCS365Neon-N2C3Crim-A,E,11,18934,130267,,
WCS365Neon-N2C3Crim-A,F,11,16064,104488,,
WCS365Neon-N2C3Crim-A,G,11,219844,70148,,
WCS365Neon-N2C3Crim-A,H,11,520501,5865,,
WCS365Neon-N2C3Crim-A,A,12,14498,91357,,
WCS365Neon-N2C3Crim-A,B,12,16958,79343,,
WCS365Neon-N2C3Crim-A,C,12,14298,89415,,
WCS365Neon-N2C3Crim-A,D,12,12766,55229,,
WCS365Neon-N2C3Crim-A,E,12,16629,131791,,
WCS365Neon-N2C3Crim-A,F,12,14167,72087,,
WCS365Neon-N2C3Crim-A,G,12,15645,110711,,
WCS365Neon-N2C3Crim-A,H,12,15151,105257,,
WCS365Crim-N2C3Neon-A,A,1,147432,89965,30,173.333333333333
WCS365Crim-N2C3Neon-A,B,1,19984,159133,39733,666.666666666667
WCS365Crim-N2C3Neon-A,C,1,19564,191978,1800,0
WCS365Crim-N2C3Neon-A,D,1,19070,183641,395,0
WCS365Crim-N2C3Neon-A,E,1,245194,83225,,
WCS365Crim-N2C3Neon-A,F,1,18866,158815,,
WCS365Crim-N2C3Neon-A,G,1,17031,160398,,
WCS365Crim-N2C3Neon-A,H,1,18727,219533,,
WCS365Crim-N2C3Neon-A,A,2,165065,7508,543.333333333333,10
WCS365Crim-N2C3Neon-A,B,2,568944,126195,2866.66666666667,900
WCS365Crim-N2C3Neon-A,C,2,29604,116623,6.66666666666667,346.666666666667
WCS365Crim-N2C3Neon-A,D,2,27483,177043,0,346.666666666667
WCS365Crim-N2C3Neon-A,E,2,297210,3906,,
WCS365Crim-N2C3Neon-A,F,2,273509,116786,,
WCS365Crim-N2C3Neon-A,G,2,30109,222755,,
WCS365Crim-N2C3Neon-A,H,2,14348,153757,,
WCS365Crim-N2C3Neon-A,A,3,316914,3644,673.333333333333,0
WCS365Crim-N2C3Neon-A,B,3,465875,5857,433.333333333333,3.33333333333333
WCS365Crim-N2C3Neon-A,C,3,245473,87858,166.666666666667,90
WCS365Crim-N2C3Neon-A,D,3,19080,146034,0,283.333333333333
WCS365Crim-N2C3Neon-A,E,3,220966,5372,,
WCS365Crim-N2C3Neon-A,F,3,618072,7085,,
WCS365Crim-N2C3Neon-A,G,3,190100,72065,,
WCS365Crim-N2C3Neon-A,H,3,18584,121740,,
WCS365Crim-N2C3Neon-A,A,4,137283,4135,433.333333333333,0
WCS365Crim-N2C3Neon-A,B,4,535603,4148,2500,40
WCS365Crim-N2C3Neon-A,C,4,527358,26604,503.333333333333,66.6666666666667
WCS365Crim-N2C3Neon-A,D,4,27618,214128,0,260
WCS365Crim-N2C3Neon-A,E,4,230307,2442,,
WCS365Crim-N2C3Neon-A,F,4,323417,5862,,
WCS365Crim-N2C3Neon-A,G,4,549988,29805,,
WCS365Crim-N2C3Neon-A,H,4,14913,98014,,
WCS365Crim-N2C3Neon-A,A,5,97733,105431,193.333333333333,350
WCS365Crim-N2C3Neon-A,B,5,24226,336542,33.3333333333333,1333.33333333333
WCS365Crim-N2C3Neon-A,C,5,20487,248500,0,413.333333333333
WCS365Crim-N2C3Neon-A,D,5,33356,436123,0,450
WCS365Crim-N2C3Neon-A,E,5,232597,167292,,
WCS365Crim-N2C3Neon-A,F,5,24534,193468,,
WCS365Crim-N2C3Neon-A,G,5,15905,138061,,
WCS365Crim-N2C3Neon-A,H,5,15408,174517,,
WCS365Crim-N2C3Neon-A,A,6,138829,7795,326.666666666667,10
WCS365Crim-N2C3Neon-A,B,6,120204,95156,466.666666666667,833.333333333333
WCS365Crim-N2C3Neon-A,C,6,31427,195545,0,236.666666666667
WCS365Crim-N2C3Neon-A,D,6,20208,224379,0,260
WCS365Crim-N2C3Neon-A,E,6,212133,5617,,
WCS365Crim-N2C3Neon-A,F,6,200083,130457,,
WCS365Crim-N2C3Neon-A,G,6,42547,258531,,
WCS365Crim-N2C3Neon-A,H,6,14770,197495,,
WCS365Crim-N2C3Neon-A,A,7,424083,3899,195,0
WCS365Crim-N2C3Neon-A,B,7,261286,6344,1833.33333333333,16.6666666666667
WCS365Crim-N2C3Neon-A,C,7,250548,120358,250,230
