plate_alias,row,col,,Abs600,Neon-raw,Neon-btm-raw,Crim-raw,Crim-btm-raw
PlateA_cropped,H,5,PlateA_croppedH5,0.0983,17128,3009,78379,13517
PlateA_cropped,A,6,PlateA_croppedA6,0.1746,327504,158666,3753,1348
PlateA_cropped,B,6,PlateA_croppedB6,0.1298,24977,4370,179602,52377
PlateA_cropped,C,6,PlateA_croppedC6,0.1039,16889,3757,131010,37809
PlateA_cropped,D,6,PlateA_croppedD6,0.1172,20603,3690,128856,36468
PlateA_cropped,E,6,PlateA_croppedE6,0.148,434586,89686,4027,1621
PlateA_cropped,F,6,PlateA_croppedF6,0.1218,23062,4580,118641,35668
PlateA_cropped,G,6,PlateA_croppedG6,0.1169,17272,3555,121862,45939
PlateA_cropped,H,6,PlateA_croppedH6,0.2173,18158,5059,175037,85689
PlateA_cropped,A,7,PlateA_croppedA7,0.1072,824003,92139,5632,1079
PlateA_cropped,B,7,PlateA_croppedB7,0.1398,561608,115727,4564,2160
PlateA_cropped,C,7,PlateA_croppedC7,0.1116,55492,3621,121882,25930
PlateA_cropped,D,7,PlateA_croppedD7,0.0968,20258,3417,142541,23767
PlateA_cropped,E,7,PlateA_croppedE7,0.1739,575325,298752,3489,810
PlateA_cropped,F,7,PlateA_croppedF7,0.1348,1213449,269016,4563,1621
PlateA_cropped,G,7,PlateA_croppedG7,0.123,41006,6016,194082,39725
PlateA_cropped,H,7,PlateA_croppedH7,0.1131,16303,3145,79189,29194
PlateA_cropped,A,8,PlateA_croppedA8,0.1108,507660,99250,3756,809
PlateA_cropped,B,8,PlateA_croppedB8,0.1132,430453,72243,4026,1620
PlateA_cropped,C,8,PlateA_croppedC8,0.1264,501856,98534,3759,810
PlateA_cropped,D,8,PlateA_croppedD8,0.0781,15851,2460,2953,1351
PlateA_cropped,E,8,PlateA_croppedE8,0.1733,307811,92426,5637,540
PlateA_cropped,F,8,PlateA_croppedF8,0.1193,323883,45322,2953,810
PlateA_cropped,G,8,PlateA_croppedG8,0.1258,311107,58451,4026,1351
PlateA_cropped,H,8,PlateA_croppedH8,0.0805,13551,2939,3758,1892
PlateA_cropped,A,9,PlateA_croppedA9,0.2003,396417,162170,133098,51537
