OD,Abs600,rep,fluor_cell,read_fluorcell,read_otherfluor_fluorcell,volume,culture_stage
0.01,0.0962,2,neon,431212,2035,275,overnight
0.01,0.0823,3,neon,458948,4833,275,overnight
0.01,,4,neon,,,275,overnight
1,0.5189,1,crim,1972496,227760,275,overnight
1,0.5122,2,crim,2202242,246020,275,overnight
1,0.5309,3,crim,2380738,229162,275,overnight
1,,4,crim,,,275,overnight
0.3,0.2252,1,crim,1053777,103983,275,overnight
0.3,0.2102,2,crim,996923,101547,275,overnight
0.3,0.2176,3,crim,950731,95853,275,overnight
0.3,,4,crim,,,275,overnight
0.1,0.1234,1,crim,302856,52315,275,overnight
0.1,0.1185,2,crim,326935,45449,275,overnight
0.1,0.1221,3,crim,330811,51487,275,overnight
0.1,,4,crim,,,275,overnight
0.03,0.0915,1,crim,128247,37015,275,overnight
0.03,0.0908,2,crim,117811,35984,275,overnight
0.03,0.0938,3,crim,116004,35140,275,overnight
0.03,,4,crim,,,275,overnight
0.01,0.082,1,crim,40705,30064,275,overnight
0.01,0.0828,2,crim,41220,29504,275,overnight
0.01,0.0811,3,crim,40188,29506,275,overnight
0.01,,4,crim,,,275,overnight
0,0.0771,1,neon,21344,2544,275,overnight
0,0.0774,2,neon,21838,3052,275,overnight
0,0.0761,3,neon,23080,3051,275,overnight
0,0.0771,1,crim,2544,21344,275,overnight
0,0.0774,2,crim,3052,21838,275,overnight
0,0.0761,3,crim,3051,23080,275,overnight
