experiment	transfer_h	strain1	strain2	strain2_od	WN_FC_fluor_offset	Healthiness_hsv	strain1_meanCount	strain1_sd	plant_quality	Alive	batchtest	strain2_meanCount	strain2_sd	ratioCFU_S12	S12_FC_inocCFU	WN_FC_inocCFU	Treatment	rep_on	treatment
2023-12-06	0	N2C3	WCS365	0.001	5.31088379184671	470.641910388905	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	3.84505842520616	431.462626246918	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	3.8247370342337	502.780917829162	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	5.86749960867504	452.873587480153	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	4.47025502229634	486.664975506942	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	4.75265778095309	388.710935544879	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	3.46635553230155	390.229003759523	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	3.58352608726381	398.548420944057	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	2.05543630747525	423.666126086552	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	3.41499607817099	460.722300770161	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	1.78498897966727	425.437300038772	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	3.88418683123212	481.141852463473	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	5e-05	-2.19339342468044	359.516834735559	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
