UniqueID	plate	experiment	row	col	StrainMix	protect	lacZ_protect	fluor_protect	path	lacZ_path	fluor_path	plant	protect_od	path_od	date_ster	date_germ	date_inoc	date_process	light_dn	light_lx	temp_dn	MS	MES	pH	notes	plate_alias	note	totalOD	ratio_protect	ratio_path	ratio	protect_cells	path_cells	total_cells	protect_cells_log	path_cells_log	total_cells_log	plant_age	well	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median	hue	saturation	value	Healthiness_rgb	Healthiness_hsv	neon_raw	crim_raw	neon_CFU	crim_CFU	Neon.100	Crim.100	X	Abs600	Neon.btm.raw	Crim.btm.raw	crim_raw_blanks	neon_raw_blanks	crim_raw_blanked	neon_raw_blanked	ratio_cn_fluor	CN_FC_fluor	ratio_cn_CFU	CN_FC_CFU	yoffset_ave	CN_FC_fluor_offset	NN_FC_fluor	NN_FC_fluor_offset	NN_FC_CFU
2023-08-08_fluor_fluor_B_004_cropped_E_3	fluor_B_004_cropped	2023-08-08_fluor	E	3	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-06	0.01	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	WCS365Neon-N2C3Crim-B	NA	0.010001	1	10000	1-10000	1457.5	14575000	14576457.5	3.16390643345775	7.16360859322827	7.16365202050215	5	E3	2437	0.339707644380542	0.385980066445183	0.19008408629407	0.351032448377581	0.415430267062315	0.234756097560976	0.371920661157025	0.442446043165468	0.265130190007037	117	139	79	39	61	22	0.227777777777778	0.431654676258993	0.545098039215686	355.638538634648	333.017702044549	21499	159440	NA	NA	NA	NA	NA	NA	NA	NA	3095.53921568627	14966.862745098	156344.460784314	6532.13725490196	23.9346564046839	4.5810291904033	NA	NA	-1.293638561443	5.8746677518463	-4.5810291904033	-5.8746677518463	NA
2023-08-08_fluor_fluor_B_004_cropped_F_3	fluor_B_004_cropped	2023-08-08_fluor	F	3	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-06	1e-04	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	WCS365Neon-N2C3Crim-B	NA	0.000101	1	100	1-100	1457.5	145750	147207.5	3.16390643345775	5.16361154314283	5.16793288742348	5	F3	3100	0.356554281610619	0.343937352927052	0.26124495506336	0.373846153846154	0.34850863422292	0.277337559429477	0.387255323816274	0.353765323992995	0.298600311041991	232	216	173	60	44	-16	0.121468926553672	0.254310344827586	0.909803921568627	41.8980211948479	107.855298813366	22681	86838	NA	NA	NA	NA	NA	NA	NA	NA	3095.53921568627	14966.862745098	83742.4607843137	7714.13725490196	10.8557130910653	3.4403825918357	NA	NA	-1.293638561443	4.7340211532787	-3.4403825918357	-4.7340211532787	NA
2023-08-08_fluor_fluor_B_004_cropped_G_3	fluor_B_004_cropped	2023-08-08_fluor	G	3	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-06	1e-06	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	WCS365Neon-N2C3Crim-B	NA	2e-06	1	1	1-1	1457.5	1457.5	2915	3.16390643345775	3.16390643345775	3.46478751964594	5	G3	25	0.354638048700027	0.341476910836922	0.296825396825397	0.355694227769111	0.343213728549142	0.299847792998478	0.360949960253768	0.344763132140192	0.303401925067368	228	219	191	35	28	-8	0.126126126126126	0.162280701754386	0.894117647058824	16.9796801756498	28.9614427947243	17980	55606	NA	NA	NA	NA	NA	NA	NA	NA	3095.53921568627	14966.862745098	52510.4607843137	3013.13725490196	17.4271718617817	4.12326655809543	NA	NA	-1.293638561443	5.41690511953844	-4.12326655809543	-5.41690511953844	NA
2023-08-08_fluor_fluor_B_004_cropped_H_3	fluor_B_004_cropped	2023-08-08_fluor	H	3	WCS365-MOCK	WCS365	L	neon	MOCK	NA	crim	col0	1e-06	0	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	WCS365Neon-N2C3Crim-B	NA	1e-06	1	0	1-0	1457.5	0	1457.5	3.16390643345775	0	3.16390643345775	5	H3	4167	0.339080459770115	0.390455053207126	0.184281842818428	0.350724637681159	0.435185185185185	0.214511041009464	0.36968085106383	0.454283185840708	0.26325587905935	124	153	73	46	75	29	0.227083333333333	0.522875816993464	0.6	481.450385468765	429.817124642451	191883	20066	NA	NA	NA	NA	NA	NA	NA	NA	3095.53921568627	14966.862745098	16970.4607843137	176916.137254902	0.0959237582712004	-3.38196800544915	NA	NA	-1.293638561443	-2.08832944400614	3.38196800544915	2.08832944400614	NA
2023-08-08_fluor_fluor_B_004_cropped_A_4	fluor_B_004_cropped	2023-08-08_fluor	A	4	MOCK-N2C3	MOCK	NA	neon	N2C3	NA	crim	col0	0	0.01	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	WCS365Neon-N2C3Crim-B	NA	0.01	0	1	0-1	0	14575000	14575000	0	7.16360859322827	7.16360859322827	5	A4	3186	0.330282179594106	0.382778242844614	0.20599276345545	0.35031847133758	0.417721518987342	0.24	0.364661989325331	0.437908496732026	0.268967733896683	117	144	82	38	61	24	0.239247311827957	0.430555555555556	0.564705882352941	381.868644918637	360.880791260604	18261	285956	NA	NA	NA	NA	NA	NA	NA	NA	3095.53921568627	14966.862745098	282860.460784314	3294.13725490196	85.8678430485533	6.42404604743648	NA	NA	-1.293638561443	7.71768460887948	-6.42404604743648	-7.71768460887948	NA
2023-08-08_fluor_fluor_B_004_cropped_B_4	fluor_B_004_cropped	2023-08-08_fluor	B	4	MOCK-N2C3	MOCK	NA	neon	N2C3	NA	crim	col0	0	1e-04	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	WCS365Neon-N2C3Crim-B	NA	1e-04	0	1	0-1	0	145750	145750	0	5.16361154314283	5.16361154314283	5	B4	2712	0.35720414530867	0.343213728549142	0.260567802271209	0.375409836065574	0.348387096774194	0.275974025974026	0.385263157894737	0.354806095825427	0.299247780197688	225	210	168	59	43	-15	0.12280701754386	0.253333333333333	0.882352941176471	44.6348473189007	106.818438028139	26193	152784	NA	NA	NA	NA	NA	NA	NA	NA	3095.53921568627	14966.862745098	149688.460784314	11226.137254902	13.333923983421	3.73702950234712	NA	NA	-1.293638561443	5.03066806379013	-3.73702950234712	-5.03066806379013	NA
2023-08-08_fluor_fluor_B_004_cropped_C_4	fluor_B_004_cropped	2023-08-08_fluor	C	4	MOCK-N2C3	MOCK	NA	neon	N2C3	NA	crim	col0	0	1e-06	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	WCS365Neon-N2C3Crim-B	NA	1e-06	0	1	0-1	0	1457.5	1457.5	0	3.16390643345775	3.16390643345775	5	C4	3326	0.333333333333333	0.343348063925496	0.227106227106227	0.351032448377581	0.391566265060241	0.257879656160458	0.389132195154869	0.41694383932841	0.297359668273528	117	131	86	32	43	13	0.218518518518519	0.343511450381679	0.513725490196078	243.021643259949	264.378009225522	22046	181731	NA	NA	NA	NA	NA	NA	NA	NA	3095.53921568627	14966.862745098	178635.460784314	7079.13725490196	25.2340722254844	4.65730113930859	NA	NA	-1.293638561443	5.95093970075159	-4.65730113930859	-5.95093970075159	NA
2023-08-08_fluor_fluor_B_004_cropped_E_4	fluor_B_004_cropped	2023-08-08_fluor	E	4	MOCK-N2C3	MOCK	NA	neon	N2C3	NA	crim	col0	0	0.01	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	WCS365Neon-N2C3Crim-B	NA	0.01	0	1	0-1	0	14575000	14575000	0	7.16360859322827	7.16360859322827	5	E4	2493	0.335260115606936	0.383605657846604	0.184457302474062	0.351351351351351	0.418781725888325	0.232189973614776	0.37325677830941	0.45575390385517	0.268627714650709	123	151	80	41	67	24	0.232394366197183	0.470198675496689	0.592156862745098	390.64309165139	371.184049078488	20018	98503	NA	NA	NA	NA	NA	NA	NA	NA	3095.53921568627	14966.862745098	95407.4607843137	5051.13725490196	18.8883128629546	4.23942193833142	NA	NA	-1.293638561443	5.53306049977443	-4.23942193833142	-5.53306049977443	NA
2023-08-08_fluor_fluor_B_004_cropped_F_4	fluor_B_004_cropped	2023-08-08_fluor	F	4	MOCK-N2C3	MOCK	NA	neon	N2C3	NA	crim	col0	0	1e-04	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	WCS365Neon-N2C3Crim-B	NA	1e-04	0	1	0-1	0	145750	145750	0	5.16361154314283	5.16361154314283	5	F4	6814	0.338414634146341	0.404175086521264	0.165068577592849	0.346820809248555	0.434504792332268	0.219101123595506	0.371884039256198	0.466200586707704	0.24754082884924	120	150	75	44	74	30	0.233333333333333	0.5	0.588235294117647	513.684425262873	447.237683686581	35908	276025	NA	NA	NA	NA	NA	NA	NA	NA	3095.53921568627	14966.862745098	272929.460784314	20941.137254902	13.0331728149304	3.70411643337172	NA	NA	-1.293638561443	4.99775499481473	-3.70411643337172	-4.99775499481473	NA
2023-08-08_fluor_fluor_B_004_cropped_G_4	fluor_B_004_cropped	2023-08-08_fluor	G	4	MOCK-N2C3	MOCK	NA	neon	N2C3	NA	crim	col0	0	1e-06	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	WCS365Neon-N2C3Crim-B	NA	1e-06	0	1	0-1	0	1457.5	1457.5	0	3.16390643345775	3.16390643345775	5	G4	11	0.347230312861278	0.342081704095643	0.273285918343054	0.355889724310777	0.355223880597015	0.283582089552239	0.362048627828599	0.374280551465667	0.303303170690583	125	126	99	24	23	-1	0.17283950617284	0.214285714285714	0.494117647058824	22.6628061670001	39.9696757795417	13978	69828	NA	NA	NA	NA	NA	NA	NA	NA	3095.53921568627	14966.862745098	66732.4607843137	1	66732.4607843137	16.0261010842976	NA	NA	-1.293638561443	17.3197396457406	-16.0261010842976	-17.3197396457406	NA
