UniqueID	plate	experiment	row	col	StrainMix	protect	lacZ_protect	fluor_protect	path	lacZ_path	fluor_path	plant	protect_od	path_od	date_ster	date_germ	date_inoc	date_process	light_dn	light_lx	temp_dn	MS	MES	pH	notes	plate_alias	note	totalOD	ratio_protect	ratio_path	ratio	protect_cells	path_cells	total_cells	protect_cells_log	path_cells_log	total_cells_log	plant_age	well	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median	hue	saturation	value	Healthiness_rgb	Healthiness_hsv	neon_raw	crim_raw	neon_CFU	crim_CFU	Neon.100	Crim.100	X	Abs600	Neon.btm.raw	Crim.btm.raw	crim_raw_blanks	neon_raw_blanks	crim_raw_blanked	neon_raw_blanked	ratio_cn_fluor	CN_FC_fluor	ratio_cn_CFU	CN_FC_CFU	yoffset_ave	CN_FC_fluor_offset	WN_FC_fluor	WN_FC_fluor_offset	WN_FC_CFU
2023-09-13_fluor_Ncrim_Wneon_A_001_cropped_C_2	Ncrim_Wneon_A_001_cropped	2023-09-13_fluor	C	2	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-04	1e-06	2023-09-05	2023-09-08	2023-09-13	2023-09-20	12_12	110	23_23	0.5	0.5	5.8	NA	Ncrim_Wneon_A_001_cropped	NA	0.000101	100	1	100-1	145750	1457.5	147207.5	5.16361154314283	3.16390643345775	5.16793288742348	5	C2	8003	0.338844933610121	0.394618834080717	0.182860514117151	0.350819672131148	0.439873417721519	0.209876543209877	0.362880886426593	0.462235649546828	0.25935103829212	121	152	71	48	79	31	0.230452674897119	0.532894736842105	0.596078431372549	550.366298274948	479.353501048232	274397	6831	NA	NA	NA	NA	NA	NA	NA	NA	2732.83333333333	20813.375	4098.16666666667	253583.625	0.0161610067158976	-5.9513391192348	NA	NA	-1.293638561443	-4.6577005577918	5.9513391192348	4.6577005577918	NA
2023-09-13_fluor_Ncrim_Wneon_A_001_cropped_D_2	Ncrim_Wneon_A_001_cropped	2023-09-13_fluor	D	2	WCS365-MOCK	WCS365	L	neon	MOCK	NA	crim	col0	1e-04	0	2023-09-05	2023-09-08	2023-09-13	2023-09-20	12_12	110	23_23	0.5	0.5	5.8	NA	Ncrim_Wneon_A_001_cropped	NA	1e-04	1	0	1-0	145750	0	145750	5.16361154314283	0	5.16361154314283	5	D2	10359	0.336283185840708	0.400542819236201	0.180327868852459	0.346820809248555	0.447552447552448	0.205128205128205	0.362162162162162	0.466887417218543	0.254635835567471	113	144	66	44	76	32	0.232905982905983	0.541666666666667	0.564705882352941	562.15036575729	506.567376550468	243587	3831	NA	NA	NA	NA	NA	NA	NA	NA	2732.83333333333	20813.375	1098.16666666667	222773.625	0.00492951832456228	-7.66433760047572	NA	NA	-1.293638561443	-6.37069903903272	7.66433760047572	6.37069903903272	NA
2023-09-13_fluor_Ncrim_Wneon_A_001_cropped_E_2	Ncrim_Wneon_A_001_cropped	2023-09-13_fluor	E	2	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-04	0.01	2023-09-05	2023-09-08	2023-09-13	2023-09-20	12_12	110	23_23	0.5	0.5	5.8	NA	Ncrim_Wneon_A_001_cropped	NA	0.0101	1	100	1-100	145750	14575000	14720750	5.16361154314283	7.16360859322827	7.16792996671589	5	E2	4417	0.341080137584065	0.370491803278689	0.2282201664752	0.36101083032491	0.392361111111111	0.247524752475248	0.374149659863946	0.410774410774411	0.275785227163577	112	122	77	35	44	10	0.203703703703704	0.368852459016394	0.47843137254902	233.294445538267	273.889910019738	29418	165970	NA	NA	NA	NA	NA	NA	NA	NA	2732.83333333333	20813.375	163237.166666667	8604.625	18.9708635375355	4.24571344537978	NA	NA	-1.293638561443	5.53935200682279	-4.24571344537978	-5.53935200682279	NA
2023-09-13_fluor_Ncrim_Wneon_A_001_cropped_F_2	Ncrim_Wneon_A_001_cropped	2023-09-13_fluor	F	2	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-04	1e-04	2023-09-05	2023-09-08	2023-09-13	2023-09-20	12_12	110	23_23	0.5	0.5	5.8	NA	Ncrim_Wneon_A_001_cropped	NA	2e-04	1	1	1-1	145750	145750	291500	5.16361154314283	5.16361154314283	5.46464004895348	5	F2	12860	0.334111611180499	0.399976635514019	0.183183183183183	0.347003154574132	0.445182724252492	0.207317073170732	0.361111111111111	0.465034965034965	0.26016387593343	113	146	67	45	75	31	0.236286919831224	0.541095890410959	0.572549019607843	562.97063913755	525.386724522595	177302	45985	NA	NA	NA	NA	NA	NA	NA	NA	2732.83333333333	20813.375	43252.1666666667	156488.625	0.276391761169009	-1.85521348313284	NA	NA	-1.293638561443	-0.561574921689843	1.85521348313284	0.561574921689843	NA
2023-09-13_fluor_Ncrim_Wneon_A_001_cropped_G_2	Ncrim_Wneon_A_001_cropped	2023-09-13_fluor	G	2	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-04	1e-06	2023-09-05	2023-09-08	2023-09-13	2023-09-20	12_12	110	23_23	0.5	0.5	5.8	NA	Ncrim_Wneon_A_001_cropped	NA	0.000101	100	1	100-1	145750	1457.5	147207.5	5.16361154314283	3.16390643345775	5.16793288742348	5	G2	4595	0.334353031122382	0.399487107939861	0.193181818181818	0.343839541547278	0.443298969072165	0.213523131672598	0.356712665810869	0.456521739130435	0.258471435771249	109	140	67	40	71	31	0.237442922374429	0.521428571428571	0.549019607843137	487.096542662161	453.437526287726	262056	5469	NA	NA	NA	NA	NA	NA	NA	NA	2732.83333333333	20813.375	2736.16666666667	241242.625	0.0113419702122155	-6.46218491735167	NA	NA	-1.293638561443	-5.16854635590867	6.46218491735167	5.16854635590867	NA
2023-09-13_fluor_Ncrim_Wneon_A_001_cropped_H_2	Ncrim_Wneon_A_001_cropped	2023-09-13_fluor	H	2	WCS365-MOCK	WCS365	L	neon	MOCK	NA	crim	col0	1e-04	0	2023-09-05	2023-09-08	2023-09-13	2023-09-20	12_12	110	23_23	0.5	0.5	5.8	NA	Ncrim_Wneon_A_001_cropped	NA	1e-04	1	0	1-0	145750	0	145750	5.16361154314283	0	5.16361154314283	5	H2	13934	0.337037037037037	0.398831888246628	0.178343949044586	0.348837209302326	0.450954387059864	0.199376947040498	0.36	0.467532467532468	0.256024096385542	111	144	63	47	81	32	0.234567901234568	0.5625	0.564705882352941	600.895511092152	546.791892277341	224647	2464	NA	NA	NA	NA	NA	NA	NA	NA	2732.83333333333	20813.375	1	203833.625	4.90596190888525e-06	-17.6370325368301	NA	NA	-1.293638561443	-16.3433939753871	17.6370325368301	16.3433939753871	NA
2023-09-13_fluor_Ncrim_Wneon_A_001_cropped_A_3	Ncrim_Wneon_A_001_cropped	2023-09-13_fluor	A	3	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-06	0.01	2023-09-05	2023-09-08	2023-09-13	2023-09-20	12_12	110	23_23	0.5	0.5	5.8	NA	Ncrim_Wneon_A_001_cropped	NA	0.010001	1	10000	1-10000	1457.5	14575000	14576457.5	3.16390643345775	7.16360859322827	7.16365202050215	5	A3	5126	0.343827254644017	0.360112864397837	0.186628437950051	0.358974358974359	0.413680781758958	0.230113636363636	0.375	0.447592067988669	0.277392113667025	128	147	80	45	65	20	0.213930348258706	0.45578231292517	0.576470588235294	389.535648331242	361.732704421626	22533	189492	NA	NA	NA	NA	NA	NA	NA	NA	2732.83333333333	20813.375	186759.166666667	1719.625	108.604589178842	6.76294125650514	NA	NA	-1.293638561443	8.05657981794814	-6.76294125650514	-8.05657981794814	NA
2023-09-13_fluor_Ncrim_Wneon_A_001_cropped_B_3	Ncrim_Wneon_A_001_cropped	2023-09-13_fluor	B	3	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-06	1e-04	2023-09-05	2023-09-08	2023-09-13	2023-09-20	12_12	110	23_23	0.5	0.5	5.8	NA	Ncrim_Wneon_A_001_cropped	NA	0.000101	1	100	1-100	1457.5	145750	147207.5	3.16390643345775	5.16361154314283	5.16793288742348	5	B3	7156	0.332283393592196	0.38754485645933	0.181515326190153	0.345794392523364	0.444099378881988	0.210526315789474	0.362546598116641	0.464406779661017	0.268484309432585	108	139	65	42	73	31	0.236486486486486	0.532374100719424	0.545098039215686	520.388687323882	485.307861879453	30375	173146	NA	NA	NA	NA	NA	NA	NA	NA	2732.83333333333	20813.375	170413.166666667	9561.625	17.8226155770245	4.15563717153946	NA	NA	-1.293638561443	5.44927573298247	-4.15563717153946	-5.44927573298247	NA
2023-09-13_fluor_Ncrim_Wneon_A_001_cropped_C_3	Ncrim_Wneon_A_001_cropped	2023-09-13_fluor	C	3	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-06	1e-06	2023-09-05	2023-09-08	2023-09-13	2023-09-20	12_12	110	23_23	0.5	0.5	5.8	NA	Ncrim_Wneon_A_001_cropped	NA	2e-06	1	1	1-1	1457.5	1457.5	2915	3.16390643345775	3.16390643345775	3.46478751964594	5	C3	5067	0.345029239766082	0.383196721311475	0.192307692307692	0.354285714285714	0.439655172413793	0.206060606060606	0.367386402074642	0.451923076923077	0.263003388621366	121	149	70	50	79	29	0.225738396624473	0.530201342281879	0.584313725490196	507.562615050962	443.420041235593	165652	69154	NA	NA	NA	NA	NA	NA	NA	NA	2732.83333333333	20813.375	66421.1666666667	144838.625	0.458587387629969	-1.12473141736489	NA	NA	-1.293638561443	0.168907144078114	1.12473141736489	-0.168907144078114	NA
2023-09-13_fluor_Ncrim_Wneon_A_001_cropped_D_3	Ncrim_Wneon_A_001_cropped	2023-09-13_fluor	D	3	WCS365-MOCK	WCS365	L	neon	MOCK	NA	crim	col0	1e-06	0	2023-09-05	2023-09-08	2023-09-13	2023-09-20	12_12	110	23_23	0.5	0.5	5.8	NA	Ncrim_Wneon_A_001_cropped	NA	1e-06	1	0	1-0	1457.5	0	1457.5	3.16390643345775	0	3.16390643345775	5	D3	8740	0.338709677419355	0.388763781806699	0.169871794871795	0.35126582278481	0.442196531791907	0.206989247311828	0.365079365079365	0.471875	0.260678998191037	119	150	71	49	81	31	0.232067510548523	0.526666666666667	0.588235294117647	563.643240193758	481.746359139964	180651	2463	NA	NA	NA	NA	NA	NA	NA	NA	2732.83333333333	20813.375	1	159837.625	6.25634921690059e-06	-17.2862475260796	NA	NA	-1.293638561443	-15.9926089646366	17.2862475260796	15.9926089646366	NA
