person,set,rank,id,healthy
ZMM,4,1,465,F
ZMM,4,2,6470,F
ZMM,4,3,4512,F
ZMM,4,4,366,F
ZMM,4,5,2603,F
ZMM,4,6,5033,F
ZMM,4,7,3419,F
ZMM,4,8,5158,T
ZMM,4,9,2069,T
ZMM,4,10,3443,T
ZMM,5,1,4766,F
ZMM,5,2,3256,F
ZMM,5,3,5942,F
ZMM,5,4,6782,F
ZMM,5,5,2603,F
ZMM,5,6,2395,T
ZMM,5,7,5158,T
ZMM,5,8,4337,T
ZMM,5,9,4735,T
ZMM,5,10,1439,T
ZMM,6,1,7713,F
ZMM,6,2,6750,F
ZMM,6,3,2376,F
ZMM,6,4,1560,F
ZMM,6,5,7085,F
ZMM,6,6,1529,F
ZMM,6,7,618,T
ZMM,6,8,2603,T
ZMM,6,9,1000,T
ZMM,6,10,3849,T
ZMM,7,1,1321,F
ZMM,7,2,6879,F
ZMM,7,3,60,F
ZMM,7,4,6598,F
ZMM,7,5,1922,F
ZMM,7,6,2603,F
ZMM,7,7,1907,T
ZMM,7,8,3082,T
ZMM,7,9,4167,T
ZMM,7,10,5344,T
ZMM,8,1,7713,F
ZMM,8,2,3150,F
ZMM,8,3,6496,F
ZMM,8,4,1816,F
ZMM,8,5,6724,F
ZMM,8,6,944,T
ZMM,8,7,4095,T
ZMM,8,8,5158,T
ZMM,8,9,3749,T
ZMM,8,10,7293,T
ZMM,9,1,11,F
ZMM,9,2,7713,F
ZMM,9,3,270,F
ZMM,9,4,7647,F
ZMM,9,5,1940,F
ZMM,9,6,4000,F
ZMM,9,7,1693,F
ZMM,9,8,5158,T
ZMM,9,9,2121,T
ZMM,9,10,2757,T
ZMM,10,1,7274,F
ZMM,10,2,6967,F
ZMM,10,3,7713,F
ZMM,10,4,60,F
ZMM,10,5,3235,F
ZMM,10,6,6071,F
ZMM,10,7,1356,T
ZMM,10,8,4505,T
ZMM,10,9,363,T
ZMM,10,10,5324,T
MYC,1,1,7713,F
MYC,1,2,939,F
MYC,1,3,2641,F
MYC,1,4,1295,T
MYC,1,5,1275,T
MYC,1,6,2603,T
MYC,1,7,81,T
MYC,1,8,3344,T
MYC,1,9,1361,T
MYC,1,10,,
MYC,2,1,7596,F
MYC,2,2,7045,F
MYC,2,3,60,F
MYC,2,4,7619,F
MYC,2,5,7396,F
MYC,2,6,1639,T
MYC,2,7,3208,T
MYC,2,8,2603,T
MYC,2,9,4277,T
MYC,2,10,6588,T
MYC,3,1,7713,F
MYC,3,2,6719,F
MYC,3,3,1571,F
MYC,3,4,2603,T
MYC,3,5,911,T
MYC,3,6,1951,T
MYC,3,7,6034,T
MYC,3,8,1149,T
MYC,3,9,6255,T
MYC,3,10,6797,T
MYC,4,1,465,F
MYC,4,2,6470,F
MYC,4,3,366,F
MYC,4,4,4512,F
MYC,4,5,3443,T
MYC,4,6,2069,T
MYC,4,7,5158,T
MYC,4,8,2603,T
MYC,4,9,5033,T
MYC,4,10,3419,T
MYC,5,1,4766,F
MYC,5,2,3256,F
MYC,5,3,5942,F
MYC,5,4,4337,F
MYC,5,5,6782,F
MYC,5,6,4735,T
MYC,5,7,5158,T
MYC,5,8,2395,T
MYC,5,9,2603,T
MYC,5,10,1439,T
MYC,6,1,6750,F
MYC,6,2,7713,F
MYC,6,3,7085,F
MYC,6,4,1560,F
MYC,6,5,1529,F
MYC,6,6,2376,T
MYC,6,7,618,T
MYC,6,8,1000,T
MYC,6,9,2603,T
MYC,6,10,3849,T
MYC,7,1,1321,F
MYC,7,2,6879,F
MYC,7,3,6598,F
MYC,7,4,60,F
MYC,7,5,1907,T
MYC,7,6,1922,T
MYC,7,7,2603,T
MYC,7,8,4167,T
MYC,7,9,3082,T
MYC,7,10,5344,T
MYC,8,1,7713,F
MYC,8,2,3150,F
MYC,8,3,6496,F
MYC,8,4,1816,F
MYC,8,5,944,T
MYC,8,6,5158,T
MYC,8,7,4095,T
MYC,8,8,3749,T
MYC,8,9,6724,T
MYC,8,10,7293,T
MYC,9,1,11,F
MYC,9,2,7713,F
MYC,9,3,270,F
MYC,9,4,7647,F
MYC,9,5,1940,F
MYC,9,6,4000,F
MYC,9,7,1693,F
MYC,9,8,2121,T
MYC,9,9,2757,T
MYC,9,10,5158,T
MYC,10,1,7274,F
MYC,10,2,6967,F
MYC,10,3,7713,F
MYC,10,4,3235,F
MYC,10,5,60,F
MYC,10,6,6071,F
MYC,10,7,4505,T
MYC,10,8,363,T
MYC,10,9,1356,T
MYC,10,10,5324,T
SS,1,1,939,F
SS,1,2,7713,F
SS,1,3,1275,F
SS,1,4,2641,F
SS,1,5,1295,F
SS,1,6,2603,T
SS,1,7,81,T
SS,1,8,1361,T
SS,1,9,3344,T
SS,1,10,,
SS,2,1,7596,F
SS,2,2,7045,F
SS,2,3,60,F
SS,2,4,7619,F
SS,2,5,1639,F
SS,2,6,3208,F
SS,2,7,7396,F
SS,2,8,2603,T
SS,2,9,4277,T
SS,2,10,6588,T
SS,3,1,6719,F
SS,3,2,7713,F
SS,3,3,1571,F
SS,3,4,6034,T
SS,3,5,911,T
SS,3,6,6255,T
SS,3,7,2603,T
SS,3,8,1951,T
SS,3,9,1149,T
SS,3,10,6797,T
SS,4,1,465,F
SS,4,2,6470,F
SS,4,3,4512,F
SS,4,4,366,F
SS,4,5,5158,F
SS,4,6,3443,F
SS,4,7,2069,F
SS,4,8,5033,T
SS,4,9,2603,T
SS,4,10,3419,T
SS,5,1,4766,F
SS,5,2,3256,F
SS,5,3,5942,F
SS,5,4,4337,F
SS,5,5,5158,F
SS,5,6,6782,F
SS,5,7,2395,F
SS,5,8,1439,F
SS,5,9,2603,T
SS,5,10,4735,T
SS,6,1,7713,F
SS,6,2,6750,F
SS,6,3,1560,F
SS,6,4,2376,F
SS,6,5,618,F
SS,6,6,7085,F
SS,6,7,1529,F
SS,6,8,2603,T
SS,6,9,1000,T
SS,6,10,3849,T
SS,7,1,1321,F
SS,7,2,6598,F
SS,7,3,6879,F
SS,7,4,60,F
SS,7,5,1922,F
SS,7,6,1907,F
SS,7,7,2603,F
SS,7,8,3082,T
SS,7,9,4167,T
SS,7,10,5344,T
SS,8,1,3150,F
SS,8,2,7713,F
SS,8,3,6496,F
SS,8,4,944,F
SS,8,5,4095,F
SS,8,6,1816,F
SS,8,7,5158,F
SS,8,8,3749,T
SS,8,9,6724,T
SS,8,10,7293,T
SS,9,1,11,F
SS,9,2,270,F
SS,9,3,7713,F
SS,9,4,7647,F
SS,9,5,4000,F
SS,9,6,1940,F
SS,9,7,1693,F
SS,9,8,5158,F
SS,9,9,2757,T
SS,9,10,2121,T
SS,10,1,7274,F
SS,10,2,6967,F
SS,10,3,3235,F
SS,10,4,7713,F
SS,10,5,60,F
