plate,experiment,well,row,col,abs600nm,neon_top,crim_top,readtime
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E5,E,5,0.0786,17364,4695,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E6,E,6,0.0773,18261,3315,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E7,E,7,0.1016,395630,8286,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E8,E,8,0.1014,338930,7735,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E9,E,9,0.1118,392212,9115,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E10,E,10,0.101,286003,13535,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E11,E,11,0.0885,230283,12707,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E12,E,12,0.1202,292249,8287,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F1,F,1,0.0785,16187,3040,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F2,F,2,0.0787,16122,2763,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F3,F,3,0.0788,19508,4421,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F4,F,4,0.0823,16051,3039,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F5,F,5,0.08,16607,4421,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F6,F,6,0.0753,16188,3592,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F7,F,7,0.0998,110153,64923,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F8,F,8,0.0993,157738,73497,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F9,F,9,0.0998,192119,52491,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F10,F,10,0.0974,84833,85914,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F11,F,11,0.101,213027,53853,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F12,F,12,0.0975,109883,46099,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,G1,G,1,0.1172,327555,552,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,G2,G,2,0.0986,504400,2762,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,G3,G,3,0.0981,389737,2763,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,G4,G,4,0.0902,262225,3315,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,G5,G,5,0.0947,422479,3039,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,G6,G,6,0.0966,503277,2763,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,G7,G,7,0.0954,82568,129047,7
