experiment,plate,well,row,col,neon_top,crim_top,neon_btm,crim_btm,abs600,readtime
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,D11,D,11,22369,266,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,D12,D,12,19957,532,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,E1,E,1,4420,1862,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,E2,E,2,3313,1597,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,E3,E,3,5176,533,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,E4,E,4,5039,1865,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,E5,E,5,4900,2931,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,E6,E,6,5935,1599,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,E7,E,7,20424,533,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,E8,E,8,22218,1865,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,E9,E,9,21190,799,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,E10,E,10,19528,799,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,E11,E,11,18908,1865,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,E12,E,12,18906,3197,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,F1,F,1,3518,1598,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,F2,F,2,3794,1065,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,F3,F,3,4278,533,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,F4,F,4,4139,2664,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,F5,F,5,4347,1865,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,F6,F,6,3657,1864,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,F7,F,7,20281,533,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,F8,F,8,20767,1332,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,F9,F,9,21873,533,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,F10,F,10,19321,2398,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,F11,F,11,22495,799,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,F12,F,12,18153,1596,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,G1,G,1,3657,798,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,G2,G,2,5036,2397,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,G3,G,3,4483,1065,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,G4,G,4,4070,1332,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,G5,G,5,4139,1065,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,G6,G,6,4828,533,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,G7,G,7,22558,1066,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,G8,G,8,39038,1599,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,G9,G,9,39249,799,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,G10,G,10,36901,799,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,G11,G,11,38488,266,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,G12,G,12,37179,1599,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,H1,H,1,4896,799,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,H2,H,2,4482,1332,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,H3,H,3,5724,266,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,H4,H,4,4551,799,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,H5,H,5,4413,533,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,H6,H,6,4689,266,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,H7,H,7,19930,2131,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,H8,H,8,21794,1332,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,H9,H,9,20899,533,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,H10,H,10,20486,799,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,H11,H,11,20279,1065,NA,NA,NA,0
2023-12_priorityeffects,N2C3-source-plateA-T2-straight_cropped,H12,H,12,20222,1064,NA,NA,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,A1,A,1,173502,5327,15629,2111,NA,0
