experiment,plate,row,col,protect,path,plant,protect_od,path_od,date_ster,date_germ,date_inoc,date_process,light_dn,light_lx,temp_dn,MS,MES,pH,notes,plate_alias
2023-08-08_fluor,fluor_A_001_cropped,G,5,WCS365-L_neon,N2C3-_crim,col0,0.01,1E-06,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,H,5,WCS365-L_neon,MOCK-_crim,col0,0.01,0,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,A,6,WCS365-L_neon,N2C3-_crim,col0,0.0001,0.01,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,B,6,WCS365-L_neon,N2C3-_crim,col0,0.0001,0.0001,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,C,6,WCS365-L_neon,N2C3-_crim,col0,0.0001,1E-06,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,D,6,WCS365-L_neon,MOCK-_crim,col0,0.0001,0,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,E,6,WCS365-L_neon,N2C3-_crim,col0,0.0001,0.01,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,F,6,WCS365-L_neon,N2C3-_crim,col0,0.0001,0.0001,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,G,6,WCS365-L_neon,N2C3-_crim,col0,0.0001,1E-06,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,H,6,WCS365-L_neon,MOCK-_crim,col0,0.0001,0,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,A,7,WCS365-L_neon,N2C3-_crim,col0,1E-06,0.01,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,B,7,WCS365-L_neon,N2C3-_crim,col0,1E-06,0.0001,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,C,7,WCS365-L_neon,N2C3-_crim,col0,1E-06,1E-06,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,D,7,WCS365-L_neon,MOCK-_crim,col0,1E-06,0,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,E,7,WCS365-L_neon,N2C3-_crim,col0,1E-06,0.01,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,F,7,WCS365-L_neon,N2C3-_crim,col0,1E-06,0.0001,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,G,7,WCS365-L_neon,N2C3-_crim,col0,1E-06,1E-06,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,H,7,WCS365-L_neon,MOCK-_crim,col0,1E-06,0,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,A,8,MOCK-_neon,N2C3-_crim,col0,0,0.01,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,B,8,MOCK-_neon,N2C3-_crim,col0,0,0.0001,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,C,8,MOCK-_neon,N2C3-_crim,col0,0,1E-06,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,D,8,MOCK-_neon,MOCK-_crim,col0,0,0,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,E,8,MOCK-_neon,N2C3-_crim,col0,0,0.01,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,F,8,MOCK-_neon,N2C3-_crim,col0,0,0.0001,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,G,8,MOCK-_neon,N2C3-_crim,col0,0,1E-06,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,H,8,MOCK-_neon,MOCK-_crim,col0,0,0,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,A,9,WCS365-L_neon,N2C3-_crim,col0,0.01,0.01,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,B,9,WCS365-L_neon,N2C3-_crim,col0,0.01,0.0001,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,C,9,WCS365-L_neon,N2C3-_crim,col0,0.01,1E-06,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,D,9,WCS365-L_neon,MOCK-_crim,col0,0.01,0,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,E,9,WCS365-L_neon,N2C3-_crim,col0,0.01,0.01,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,F,9,WCS365-L_neon,N2C3-_crim,col0,0.01,0.0001,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,G,9,WCS365-L_neon,N2C3-_crim,col0,0.01,1E-06,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,H,9,WCS365-L_neon,MOCK-_crim,col0,0.01,0,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,A,10,WCS365-L_neon,N2C3-_crim,col0,0.0001,0.01,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,B,10,WCS365-L_neon,N2C3-_crim,col0,0.0001,0.0001,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
2023-08-08_fluor,fluor_A_001_cropped,C,10,WCS365-L_neon,N2C3-_crim,col0,0.0001,1E-06,2023-08-31,2023-08-03,2023-08-08,2023-08-15,12_12,110,23_23,0.5,0.5,5.8,,WCS365Neon-N2C3Crim-A
