date_processed	plate	treatment	weight_mg	strains	strain1	strain2	delay	position	od1	od2	volume1	volume2	test	date_inoc	date_transplanted	date_sow	blue_plant	white_plant	Number_of_plants_pooled	dilution_plant	dotplate	row	col	ratio1	ratio2	ratio	dilution_dot	white_dot	blue_dot	date_process_dot
2022-04-19	P3	NL++W	1.8	NL+W	NL	W	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	797	1	4	6	NL+W_1:1	e	4	1	1	1:1	4	284	36	2022-04-20
2022-04-19	P3	NL++W	1.8	NL+W	NL	W	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	797	1	4	6	NL+W_1:1	d	6	1	1	1:1	4	246	105	2022-04-20
2022-04-19	P3	NL++W	3	NL+W	NL	W	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	797	1	4	6	NL+W_1:1	a	4	1	1	1:1	4	173	116	2022-04-20
2022-04-19	P3	NL++W	3	NL+W	NL	W	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	797	1	4	6	NL+W_1:1	e	4	1	1	1:1	4	284	36	2022-04-20
2022-04-19	P3	NL++W	3	NL+W	NL	W	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	797	1	4	6	NL+W_1:1	d	6	1	1	1:1	4	246	105	2022-04-20
2022-04-19	P3	NL++W	1.8	NL+W	NL	W	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	797	1	4	6	NL+W_1:1	a	4	1	1	1:1	4	173	116	2022-04-20
2022-04-19	P3	NL++W	1.8	NL+W	NL	W	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	797	1	4	6	NL+W_1:1	e	4	1	1	1:1	4	284	36	2022-04-20
2022-04-19	P3	NL++W	1.8	NL+W	NL	W	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	797	1	4	6	NL+W_1:1	d	6	1	1	1:1	4	246	105	2022-04-20
2022-04-19	P4	NL++0	2.2	NL+mock	NL	mock	++	a	5e-04	0	6	6	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P4	NL++0	2.2	NL+mock	NL	mock	++	a	5e-04	0	6	6	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P4	NL++0	2.2	NL+mock	NL	mock	++	a	5e-04	0	6	6	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P4	NL++0	2.2	NL+mock	NL	mock	++	a	5e-04	0	6	6	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P4	NL++W	3.8	NL+W	NL	W	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	707	1	4	5	NL+W_1:1	a	4	1	1	1:1	4	173	116	2022-04-20
2022-04-19	P4	NL++W	3.8	NL+W	NL	W	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	707	1	4	5	NL+W_1:1	e	4	1	1	1:1	4	284	36	2022-04-20
2022-04-19	P4	NL++W	3.8	NL+W	NL	W	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	707	1	4	5	NL+W_1:1	d	6	1	1	1:1	4	246	105	2022-04-20
2022-04-19	P4	NL++W	4.8	NL+W	NL	W	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	707	1	4	5	NL+W_1:1	a	4	1	1	1:1	4	173	116	2022-04-20
2022-04-19	P4	NL++W	4.8	NL+W	NL	W	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	707	1	4	5	NL+W_1:1	e	4	1	1	1:1	4	284	36	2022-04-20
2022-04-19	P4	NL++W	4.8	NL+W	NL	W	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	707	1	4	5	NL+W_1:1	d	6	1	1	1:1	4	246	105	2022-04-20
2022-04-19	P4	NL++W	3.6	NL+W	NL	W	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	707	1	4	5	NL+W_1:1	a	4	1	1	1:1	4	173	116	2022-04-20
2022-04-19	P4	NL++W	3.6	NL+W	NL	W	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	707	1	4	5	NL+W_1:1	e	4	1	1	1:1	4	284	36	2022-04-20
2022-04-19	P4	NL++W	3.6	NL+W	NL	W	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	707	1	4	5	NL+W_1:1	d	6	1	1	1:1	4	246	105	2022-04-20
2022-04-19	P4	NL++W	2.6	NL+W	NL	W	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	707	1	4	5	NL+W_1:1	a	4	1	1	1:1	4	173	116	2022-04-20
2022-04-19	P4	NL++W	2.6	NL+W	NL	W	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	707	1	4	5	NL+W_1:1	e	4	1	1	1:1	4	284	36	2022-04-20
2022-04-19	P4	NL++W	2.6	NL+W	NL	W	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	707	1	4	5	NL+W_1:1	d	6	1	1	1:1	4	246	105	2022-04-20
2022-04-19	P5	0++NL	1.2	mock+NL	mock	NL	++	c	0	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P5	0++NL	1.4	mock+NL	mock	NL	++	c	0	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P5	0++NL	1.2	mock+NL	mock	NL	++	c	0	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P5	NL++0	3.8	NL+mock	NL	mock	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P5	NL++0	1.2	NL+mock	NL	mock	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P5	NL++0	2.8	NL+mock	NL	mock	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P5	Mock	8.6	mock+0	mock	0	++	a	0	0	6	0	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P5	Mock	10.8	mock+0	mock	0	++	a	0	0	6	0	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P6	W	11.6	W+0	W	0	-	a	0.001	0	6	0	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P6	W	11.2	W+0	W	0	-	a	0.001	0	6	0	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P6	W	17.8	W+0	W	0	-	a	0.001	0	6	0	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P6	N	3.2	N+0	N	0	-	b	0.001	0	6	0	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P6	N	3.8	N+0	N	0	-	b	0.001	0	6	0	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P6	N	3.4	N+0	N	0	-	b	0.001	0	6	0	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P6	WL+N	10.8	WL+N	WL	N	-	c	0.001	0.001	3	3	delay	2022-04-12	2022-04-11	2022-04-04	364	29	3	6	WL+N_1:1	d	4	1	1	1:1	4	270	190	2022-04-20
2022-04-19	P6	WL+N	10.8	WL+N	WL	N	-	c	0.001	0.001	3	3	delay	2022-04-12	2022-04-11	2022-04-04	364	29	3	6	WL+N_1:1	b	3	1	1	1:1	4	295	163	2022-04-20
2022-04-19	P6	WL+N	10.8	WL+N	WL	N	-	c	0.001	0.001	3	3	delay	2022-04-12	2022-04-11	2022-04-04	364	29	3	6	WL+N_1:1	e	6	1	1	1:1	5	363	148	2022-04-20
