subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	25344	0.3303303303303303	0.4104364610858117	0.16666666666666666	0.3483483483483483	0.4605263157894737	0.18980169971671387	0.3595505617977528	0.48026315789473684	0.2513920688707757	119.0	156.0	64.0	53.0	92.0	37.0
subimage_G1	11873	0.32752613240418116	0.3822784810126582	0.15258321421278334	0.3407202216066482	0.44014084507042256	0.22145328719723184	0.36146206447411267	0.4978795223987791	0.26871237661677655	100.0	129.0	65.0	35.0	64.0	30.0
subimage_F1	4780	0.31985294117647056	0.38584519981626086	0.22140080561110956	0.3413173652694611	0.40993788819875776	0.2515151515151515	0.36078857630008526	0.43182260346657236	0.2785724759111856	103.0	123.0	76.0	28.0	47.0	21.0
subimage_E1	2861	0.31950207468879666	0.376271186440678	0.2268041237113402	0.3446327683615819	0.39473684210526316	0.2620689655172414	0.3709090909090909	0.4150197628458498	0.28535353535353536	103.0	117.0	77.0	25.0	39.0	15.0
subimage_D1	3722	0.34591194968553457	0.3474576271186441	0.2219020172910663	0.3677811550151976	0.37004901960784314	0.26238114280636277	0.38419618528610355	0.41297935103244837	0.29337750884481906	160.0	161.0	113.0	48.0	47.0	-1.5
subimage_C1	14528	0.33226868237435536	0.38461538461538464	0.13354037267080746	0.35988200589970504	0.4558011049723757	0.18915418008682258	0.37537537537537535	0.5	0.26496229576874736	125.0	160.0	61.0	63.0	94.0	32.0
subimage_B1	6855	0.3333333333333333	0.3888888888888889	0.1901639344262295	0.3465346534653465	0.43288590604026844	0.2222222222222222	0.36653811799067076	0.451505016722408	0.26690427472908973	108.0	134.0	68.0	38.0	65.0	26.0
subimage_A1	13715	0.3371647509578544	0.3441226575809199	0.15384615384615385	0.3521594684385382	0.4523076923076923	0.19827586206896552	0.36786269430051816	0.48574468085106376	0.2896159679228819	113.0	144.0	63.0	47.0	77.0	32.0
subimage_H2	24128	0.3364981569246972	0.41271151542377954	0.17039106145251395	0.35082872928176795	0.4595300261096606	0.1887905604719764	0.3628048780487805	0.4750733137829912	0.24643359259847156	125.0	163.0	66.0	56.0	95.0	38.0
subimage_G2	3183	0.325	0.36337328266588714	0.22325785672457546	0.3559322033898305	0.3956043956043956	0.2518518518518518	0.37358273693342003	0.41295546558704455	0.2881724683544303	124.0	137.0	85.0	37.0	48.0	13.0
subimage_F2	9635	0.33758617108286704	0.37854046095012167	0.1592356687898089	0.3536231884057971	0.44562334217506633	0.20058997050147492	0.37757437070938216	0.47335423197492166	0.2647058823529412	125.0	157.0	71.0	53.0	86.0	32.0
subimage_E2	3107	0.35556523141428803	0.34415584415584416	0.2730591455753007	0.36698717948717946	0.34814814814814815	0.2846153846153846	0.3769230769230769	0.35151854354988593	0.2993920972644377	234.0	223.0	183.0	53.0	41.0	-12.0
subimage_D2	8190	0.34298172085004236	0.3784881543215657	0.18411552346570398	0.35753439058088543	0.4224137931034483	0.21965317919075145	0.3788228971479151	0.44665480895915677	0.26835836372738325	121.0	142.0	74.0	45.0	66.0	21.0
subimage_C2	7036	0.33633633633633636	0.38850574712643676	0.16600790513833993	0.34843205574912894	0.4482758620689655	0.20197859915832056	0.3609022556390977	0.48175182481751827	0.2660098522167488	111.0	143.0	69.0	45.0	77.0	33.0
subimage_B2	8289	0.3407821229050279	0.3989998507239887	0.1761006289308176	0.35365853658536583	0.44505494505494503	0.20180722891566266	0.3630573248407643	0.4634920634920635	0.2530592968549173	128.0	161.0	74.0	54.0	86.0	34.0
subimage_A2	3115	0.32269503546099293	0.37906915454353785	0.24107686183069355	0.34055727554179566	0.3944954128440367	0.263768115942029	0.3695136330140015	0.4163608461548638	0.2829002653693056	110.0	127.0	85.0	25.0	42.0	18.0
subimage_H3	28420	0.332179325864447	0.40311717684432247	0.1695906432748538	0.3505747126436782	0.4604519774011299	0.18873239436619718	0.3613458467499149	0.4778481012658228	0.25625087047353756	122.0	159.0	65.0	56.0	94.0	38.0
subimage_G3	5555	0.3258064516129032	0.3856749311294766	0.20540540540540542	0.3404255319148936	0.41329479768786126	0.2453416149068323	0.3588235294117647	0.45081967213114754	0.2749345820134968	113.0	138.0	81.0	32.0	55.0	24.0
subimage_F3	2851	0.3547914899814106	0.34327299671853495	0.27419230330328315	0.3624641833810888	0.34702549575070823	0.29055007052186177	0.3757580212429711	0.351506456241033	0.3001422762993591	253.0	241.0	201.0	49.0	39.0	-11.0
subimage_E3	3792	0.33601182795698925	0.37789210506247756	0.216800235163067	0.3623915706322026	0.4026403439127825	0.234192037470726	0.3793969849246231	0.43243243243243246	0.26849343185550084	143.0	156.0	91.0	50.0	63.0	16.0
subimage_D3	11118	0.3415957504841393	0.38077845113834335	0.14207421952296145	0.3569181301014098	0.4407977595121304	0.2	0.37978284876525575	0.4883720930232558	0.26905829596412556	124.0	150.0	67.0	51.0	80.0	28.0
subimage_C3	7721	0.3346303501945525	0.3948220064724919	0.1684981684981685	0.3468013468013468	0.4369230769230769	0.21895424836601307	0.3620689655172414	0.4744525547445255	0.2597402597402597	110.0	137.0	69.0	40.0	68.0	30.0
subimage_B3	5115	0.3360813801201283	0.3859202789552851	0.21406114162396572	0.3455056179775281	0.4115942028985507	0.24107142857142858	0.37037037037037035	0.43636363636363634	0.2678062678062678	117.0	141.0	82.0	36.0	57.0	23.0
