subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	7618	0.32343882717615524	0.39838566725753355	0.18874172185430463	0.33727112872613596	0.43911439114391143	0.22413793103448276	0.35070566239316237	0.468013468013468	0.26582278481012656	105.0	138.0	68.0	35.0	64.0	31.0
subimage_G1	6235	0.32371794871794873	0.39471578947368424	0.20303030303030303	0.34210526315789475	0.4294478527607362	0.22758620689655173	0.3515625	0.46134886240520023	0.2690106153063819	116.0	143.0	77.0	37.0	67.0	29.0
subimage_F1	6841	0.336	0.3857566765578635	0.19444444444444445	0.34843205574912894	0.4230769230769231	0.2302158273381295	0.36423841059602646	0.4511784511784512	0.26900584795321636	108.0	129.0	70.0	36.0	59.0	23.0
subimage_E1	3787	0.3232054384145639	0.38032176491105685	0.21705426356589147	0.35410764872521244	0.40594059405940597	0.24119241192411925	0.37209302325581395	0.4237649855312112	0.28625528533726835	125.0	146.0	84.0	41.0	59.0	19.0
subimage_D1	9977	0.34190231362467866	0.38499316628701596	0.18155619596541786	0.3620689655172414	0.43097643097643096	0.2078853046594982	0.38109756097560976	0.44837758112094395	0.2603737054926438	127.0	149.0	70.0	53.0	76.0	23.0
subimage_C1	9302	0.3365695792880259	0.39067345008012666	0.16216216216216217	0.3469912436631773	0.4358974358974359	0.2169811320754717	0.3766206596750529	0.4715447154471545	0.2588988549931825	106.0	133.0	67.0	40.0	67.0	27.0
subimage_B1	11779	0.337633025619749	0.39376058072128456	0.17222222222222222	0.35772357723577236	0.44837758112094395	0.19240506329113924	0.3720316622691293	0.46706586826347307	0.2624374938719483	130.0	162.0	69.0	60.0	93.0	32.0
subimage_A1	2531	0.3297296244350943	0.32177239407647584	0.21352313167259787	0.35313531353135313	0.40942028985507245	0.23961661341853036	0.37192132749326146	0.4334470989761092	0.3198163808628925	100.0	120.0	66.0	32.0	46.0	18.0
subimage_H2	20833	0.3367088607594937	0.401481697216812	0.16608507464511474	0.353887399463807	0.4591549295774648	0.18571428571428572	0.3654390934844193	0.4766081871345029	0.2571081550028917	126.0	163.0	66.0	59.0	96.0	37.0
subimage_G2	7316	0.32222222222222224	0.3794037940379404	0.16267942583732056	0.33986928104575165	0.43465045592705165	0.2267849614839229	0.35802469135802467	0.49572649572649574	0.28049263654284723	106.0	133.0	71.0	35.0	64.0	30.0
subimage_F2	7506	0.33571856800274064	0.3940982325457659	0.1821561338289963	0.3489152603151124	0.4403409090909091	0.2111801242236025	0.36336103183929275	0.46204620462046203	0.260292199726742	120.0	151.0	71.0	45.0	74.0	30.0
subimage_E2	6097	0.3287671232876712	0.3903575670892827	0.19808306709265175	0.35275080906148865	0.425	0.22195121951219512	0.371007371007371	0.44951737740190656	0.2649350649350649	131.0	156.0	82.0	47.0	73.0	26.0
subimage_D2	9620	0.3272703474535935	0.37922594513140984	0.2024527458334368	0.34201954397394135	0.4200626959247649	0.23684210526315788	0.373807473260175	0.4479656108597285	0.2755681818181818	106.0	129.0	73.0	32.0	55.0	24.0
subimage_C2	8233	0.3294460641399417	0.39423566214807093	0.1754815610454708	0.3426791277258567	0.44224422442244227	0.21754385964912282	0.35755813953488375	0.4745098039215686	0.2643506177086021	102.0	133.0	65.0	37.0	67.0	29.0
subimage_B2	11849	0.3382899628252788	0.3929380599922088	0.17964071856287425	0.3580645161290323	0.4375	0.20334261838440112	0.37206847886114014	0.462484984984985	0.261824213052275	124.0	150.0	69.0	52.0	80.0	27.0
